Player ID,Player Name,Total (Overall),Highest Paying Game,Total (Game),% of Total,Age
 N0tail,Johan Sundstein,"6,944,322.80",Dota 2,"6,932,596.58",99.83%,27
 JerAx,Jesse Vainikka,"6,470,548.78",Dota 2,"6,470,000.02",99.99%,28
 ana,Anathan Pham,"6,000,411.96",Dota 2,"6,000,411.96",100.00%,21
 Ceb,Sébastien Debs,"5,534,297.41",Dota 2,"5,534,297.41",100.00%,28
 Topson,Topias Taavitsainen,"5,450,902.57",Dota 2,"5,450,902.57",100.00%,22
 KuroKy,Kuro Takhasomi,"5,190,106.15",Dota 2,"5,188,382.81",99.97%,28
 Miracle-,Amer Al-Barkawi,"4,793,043.68",Dota 2,"4,793,043.68",100.00%,23
 MinD_ContRoL,Ivan Ivanov,"4,574,118.16",Dota 2,"4,574,118.16",100.00%,25
 GH,Maroun Merhej,"4,187,051.24",Dota 2,"4,187,051.24",100.00%,25
 Matumbaman,Lasse Urpalainen,"3,759,369.04",Dota 2,"3,759,369.04",100.00%,25
 SumaiL,Sumail Hassan,"3,608,317.34",Dota 2,"3,608,317.34",100.00%,21
 Bugha,Kyle Giersdorf,"3,104,541.68",Fortnite,"3,092,375.01",99.61%,17
 UNiVeRsE,Saahil Arora,"3,057,237.67",Dota 2,"3,057,237.67",100.00%,30
 ppd,Peter Dager,"3,023,331.36",Dota 2,"2,995,619.62",99.08%,28
 Somnus丶M,Lu Yao,"2,984,982.14",Dota 2,"2,984,982.14",100.00%,24
 fy,"Xu, Linsen","2,894,690.34",Dota 2,"2,894,690.34",100.00%,25
 Puppey,Clement Ivanov,"2,859,074.23",Dota 2,"2,858,004.17",99.96%,30
 Fear,Clinton Loomis,"2,553,013.19",Dota 2,"2,551,657.34",99.95%,32
 s4,Gustav Magnusson,"2,545,394.91",Dota 2,"2,540,336.14",99.80%,28
 Zai,Ludwig Wåhlberg,"2,518,229.02",Dota 2,"2,498,134.31",99.20%,23
 Fly,Tal Aizik,"2,398,570.81",Dota 2,"2,381,155.91",99.27%,27
 w33,Aliwi Omar,"2,270,625.58",Dota 2,"2,270,625.58",100.00%,25
 Arteezy,Artour Babaev,"2,257,053.21",Dota 2,"2,257,053.21",100.00%,24
 Ame,"Wang, Chunyu","2,244,012.27",Dota 2,"2,244,012.27",100.00%,23
 y`,Zhang Yiping,"2,097,095.28",Dota 2,"2,097,095.28",100.00%,22
 Faith_bian,Zhang Ruida,"2,078,534.86",Dota 2,"2,078,534.86",100.00%,22
 Cr1t,Andreas Nielsen,"2,007,841.60",Dota 2,"2,007,841.60",100.00%,24
 Aui_2000,Kurtis Ling,"2,005,894.44",Dota 2,"2,005,894.44",100.00%,28
 iceice,"Li, Peng","2,002,159.51",Dota 2,"2,002,159.51",100.00%,25
 Shadow,Chu Zeyu,"1,982,225.70",Dota 2,"1,982,225.70",100.00%,23
 bLink,Zhou Yang,"1,960,956.47",Dota 2,"1,960,956.47",100.00%,28
 psalm,Harrison Chang,"1,957,350.00",Fortnite,"1,873,138.80",95.70%,25
 Aqua,David Wang,"1,928,774.23",Fortnite,"1,923,774.23",99.74%,18
 xNova,"Yap, Jianwei","1,882,492.98",Dota 2,"1,882,492.98",100.00%,23
 Chalice,"Yang, Shenyi","1,848,849.88",Dota 2,"1,848,849.88",100.00%,22
 xiao8,"Zhang, Ning","1,837,534.96",Dota 2,"1,830,094.33",99.60%,31
 kpii,Damien Chok,"1,807,425.30",Dota 2,"1,807,425.30",100.00%,27
 dupreeh,Peter Rasmussen,"1,795,322.74",Counter-Strike: Global Offensive,"1,795,322.74",100.00%,27
 RAMZES666,Roman Kushnarev,"1,787,296.92",Dota 2,"1,787,296.92",100.00%,21
 KaKa,"Hu, Liangzhi","1,787,083.53",Dota 2,"1,787,083.53",100.00%,27
 Solo,Alexei Berezin,"1,777,625.61",Dota 2,"1,777,625.61",100.00%,30
 Xyp9x,Andreas Højsleth,"1,773,291.80",Counter-Strike: Global Offensive,"1,771,621.90",99.91%,25
 Faith,"Zeng, Hongda","1,764,520.75",Dota 2,"1,745,944.26",98.95%,28
 MidOne,"Zheng, Yeik Nai","1,761,891.47",Dota 2,"1,761,891.47",100.00%,24
 Hao,"Chen, Zhihao","1,761,646.83",Dota 2,"1,755,205.74",99.63%,30
 dev1ce,Nicolai Reedtz,"1,760,945.97",Counter-Strike: Global Offensive,"1,759,823.21",99.94%,25
 9pasha,Pavel Khvastunov,"1,713,179.57",Dota 2,"1,713,179.57",100.00%,28
 gla1ve,Lukas Rossander,"1,629,609.07",Counter-Strike: Global Offensive,"1,624,684.08",99.70%,25
 Super,"Xie, Junhao","1,618,523.14",Dota 2,"1,598,492.49",98.76%,27
 Noone,Vladimir Minenko,"1,616,823.45",Dota 2,"1,616,823.45",100.00%,23
 iceiceice,"Koh, Daryl Pei Xiang","1,555,661.96",Dota 2,"1,553,261.96",99.85%,30
 Nyhrox,Emil Bergquist Pedersen,"1,536,845.69",Fortnite,"1,536,845.69",100.00%,18
 YapzOr,Yazied Jaradat,"1,527,698.67",Dota 2,"1,527,698.67",100.00%,26
 MiSeRy,Rasmus Fillipsen,"1,485,691.67",Dota 2,"1,484,921.92",99.95%,29
 Resolut1on,Roman Fominok,"1,459,970.75",Dota 2,"1,459,970.75",100.00%,24
 Fenrir,"Lu, Chao","1,402,208.92",Dota 2,"1,402,208.92",100.00%,31
 Mu,"Zhang, Pan","1,390,711.71",Dota 2,"1,386,339.43",99.69%,30
 Magisk,Emil Reif,"1,388,781.97",Counter-Strike: Global Offensive,"1,388,781.97",100.00%,22
 EpikWhale,Shane Cotton,"1,349,508.21",Fortnite,"1,349,508.21",100.00%,18
 LaNm,"Zhang, Zhicheng","1,349,257.35",Dota 2,"1,348,804.67",99.97%,30
 DDC,"Liang, Fa Ming","1,345,435.47",Dota 2,"1,337,308.37",99.40%,30
 RodjER,Vladimir Nikogosyan,"1,319,834.13",Dota 2,"1,319,834.13",100.00%,26
 Wolfiez,Jaden Ashman,"1,317,726.67",Fortnite,"1,317,726.67",100.00%,16
 FATA,Adrian Trinks,"1,314,368.82",Dota 2,"1,314,368.82",100.00%,27
 Banana,"Jiao, Wang","1,283,122.84",Dota 2,"1,271,085.00",99.06%,32
 Sccc,"Song, Chun","1,272,450.74",Dota 2,"1,272,450.74",100.00%,25
 Faker,"Lee, Sang Hyeok","1,257,615.87",League of Legends,"1,257,615.87",100.00%,24
 Moogy,Xu Han,"1,221,917.10",Dota 2,"1,221,917.10",100.00%,26
 Sylar,"Liu, Jiajun","1,218,812.19",Dota 2,"1,212,757.14",99.50%,26
 eLeVeN,Ren Yangwei,"1,211,710.47",Dota 2,"1,211,710.47",100.00%,24
 SanSheng,"Wang, Zhaohui","1,211,061.38",Dota 2,"1,202,225.88",99.27%,31
 Rojo,Dave Jong,"1,209,243.33",Fortnite,"1,209,243.33",100.00%,21
 Kreo,Nate Kou,"1,196,041.67",Fortnite,"1,196,041.67",100.00%,18
 Yao,"Yao, Zhengzheng","1,192,081.08",Dota 2,"1,186,002.61",99.49%,29
 Zayt,Williams Aubin,"1,172,258.19",Fortnite,"1,171,533.19",99.94%,20
 Crimsix,Ian Porter,"1,148,159.47",Call of Duty: Modern Warfare,"353,000.00",30.74%,28
 MMY!,"Lei, Zengrong","1,112,600.81",Dota 2,"1,100,271.44",98.89%,31
 Saf,Rocco Morales,"1,111,688.79",Fortnite,"1,111,688.79",100.00%,18
 Ceice,Davis McClellan,"1,108,680.47",Fortnite,"1,108,680.47",100.00%,18
 Clayster,James Eubanks,"1,099,396.68",Call of Duty: Modern Warfare,"359,000.00",32.65%,28
 Stewie2k,Jakey Yip,"1,083,790.00",Counter-Strike: Global Offensive,"1,082,840.00",99.91%,22
 Q,"Fu, Bin","1,081,544.74",Dota 2,"1,081,544.74",100.00%,24
 FalleN,Gabriel Toledo,"1,067,842.41",Counter-Strike: Global Offensive,"1,059,938.92",99.26%,29
 TACO,Epitácio de Melo,"1,063,858.27",Counter-Strike: Global Offensive,"1,063,858.27",100.00%,25
 fer,Fernando Alvarenga,"1,054,943.90",Counter-Strike: Global Offensive,"1,054,038.92",99.91%,29
 Saksa,Martin Sazdov,"1,026,689.75",Dota 2,"1,026,689.75",100.00%,25
 Mushi,"Chai, Yee Fung","1,023,869.17",Dota 2,"1,023,582.18",99.97%,29
 kinG,Thiago Lapp,"1,021,150.00",Fortnite,"1,021,000.00",99.99%,14
 coldzera,Marcelo David,"1,019,651.46",Counter-Strike: Global Offensive,"1,019,651.46",100.00%,26
 Paparazi,"Zhang, Chengjun","1,001,723.80",Dota 2,"1,001,723.80",100.00%,24
 Elevate,Hayden Krueger,"992,733.20",Fortnite,"991,583.20",99.88%,17
 pieliedie,Johan Åström,"989,390.86",Dota 2,"989,390.86",100.00%,29
 karrigan,Finn Andersen,"982,922.11",Counter-Strike: Global Offensive,"951,135.39",96.77%,30
 NAF,Keith Markovic,"978,265.66",Counter-Strike: Global Offensive,"978,265.66",100.00%,22
 EternaLEnVy,Jacky Mao,"977,872.69",Dota 2,"977,872.69",100.00%,29
 Duke,"Lee, Ho Seong","954,620.62",League of Legends,"954,620.62",100.00%,25
 Nisha,Michał Jankowski,"927,853.71",Dota 2,"927,853.71",100.00%,20
 ELiGE,Jonathan Jablonowski,"927,446.42",Counter-Strike: Global Offensive,"926,196.42",99.87%,23
 nitr0,Nick Cannella,"920,391.73",Counter-Strike: Global Offensive,"920,151.73",99.97%,25
