Rk,Player,WAR/pos,G,Year,Age,Tm,Lg,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
1,Mike Trout (RoY-1st)\troutmi01,10.5,139,2012,20,LAA,AL,639,559,129,182,27,8,30,83,67,4,139,6,0,7,7,49,5,0.326,0.399,0.564,0.963,*87/9H
2,Aaron Judge (RoY-1st)\judgeaa01,7.9,155,2017,25,NYY,AL,678,542,128,154,24,3,52,114,127,11,208,5,0,4,15,9,4,0.284,0.422,0.627,1.049,*9D/H
3,Ichiro Suzuki (RoY-1st)\suzukic01,7.7,157,2001,27,SEA,AL,738,692,127,242,34,8,8,69,30,10,53,8,4,4,3,56,14,0.35,0.381,0.457,0.838,*9/HD
4,Fred Lynn (RoY-1st)\lynnfr01,7.4,145,1975,23,BOS,AL,605,528,103,175,47,7,21,105,62,10,90,3,6,6,11,10,5,0.331,0.401,0.566,0.967,*8/H
5,Carlton Fisk (RoY-1st)\fiskca01,7.3,131,1972,24,BOS,AL,514,457,74,134,28,9,22,61,52,6,83,4,1,0,11,5,2,0.293,0.37,0.538,0.909,*2/H
6,Mike Piazza (RoY-1st)\piazzmi01,7,149,1993,24,LAD,NL,602,547,81,174,24,2,35,112,46,6,86,3,0,6,10,3,4,0.318,0.37,0.561,0.932,*2/H3
7,Troy Tulowitzki (RoY-2nd)\tulowtr01,6.8,155,2007,22,COL,NL,682,609,104,177,33,5,24,99,57,3,130,9,5,2,14,7,6,0.291,0.359,0.479,0.838,*6
8,Albert Pujols (RoY-1st)\pujolal01,6.6,161,2001,21,STL,NL,676,590,112,194,47,4,37,130,69,6,93,9,1,7,21,1,3,0.329,0.403,0.61,1.013,5379/HD
9,Nomar Garciaparra (RoY-1st)\garcino01,6.6,153,1997,23,BOS,AL,734,684,122,209,44,11,30,98,35,2,92,6,2,7,9,22,9,0.306,0.342,0.534,0.875,*6/H
10,Kenny Lofton (RoY-2nd)\loftoke01,6.6,148,1992,25,CLE,AL,651,576,96,164,15,8,5,42,68,3,54,2,4,1,7,66,12,0.285,0.362,0.365,0.726,*8/H
11,Billy Grabarkewitz\grababi01,6.5,156,1970,24,LAD,NL,640,529,92,153,20,8,17,84,95,8,149,6,3,7,8,19,9,0.289,0.399,0.454,0.852,*564/H
12,Jason Heyward (RoY-2nd)\heywaja01,6.4,142,2010,20,ATL,NL,623,520,83,144,29,5,18,72,91,2,128,10,0,2,13,11,6,0.277,0.393,0.456,0.849,*9/H
13,Mitchell Page (RoY-2nd)\pagemi02,6.1,145,1977,25,OAK,AL,592,501,85,154,28,8,21,75,78,6,95,6,4,3,7,42,5,0.307,0.405,0.521,0.926,*7/DH9
14,Alvin Davis (RoY-1st)\davisal01,6,152,1984,23,SEA,AL,678,567,80,161,34,3,27,116,97,16,78,7,0,7,7,5,4,0.284,0.391,0.497,0.888,*3/D
15,José Abreu (RoY-1st)\abreujo02,5.8,145,2014,27,CHW,AL,622,556,80,176,35,2,36,107,51,15,131,11,0,4,14,3,1,0.317,0.383,0.581,0.964,*3D/H
16,Devon White (RoY-5th)\whitede03,5.6,159,1987,24,CAL,AL,696,639,103,168,33,5,24,87,39,2,135,2,14,2,8,32,11,0.263,0.306,0.443,0.749,*98/7H
17,Tom Brunansky\brunato01,5.6,127,1982,21,MIN,AL,545,463,77,126,30,1,20,46,71,0,101,8,1,2,12,1,2,0.272,0.377,0.471,0.848,*98/7
18,Kevin Seitzer (RoY-2nd)\seitzke01,5.5,161,1987,25,KCR,AL,725,641,105,207,33,8,15,83,80,0,85,2,1,1,18,12,7,0.323,0.399,0.47,0.869,*53/7D
19,Thurman Munson (RoY-1st)\munsoth01,5.5,132,1970,23,NYY,AL,526,453,59,137,25,4,6,53,57,6,56,7,5,4,13,5,7,0.302,0.386,0.415,0.801,*2H
20,Bump Wills (RoY-3rd)\willsbu01,5.4,152,1977,24,TEX,AL,617,541,87,155,28,6,9,62,65,7,96,0,7,4,10,28,12,0.287,0.361,0.41,0.771,*4/HD
21,Kris Bryant (RoY-1st)\bryankr01,5.3,151,2015,23,CHC,NL,650,559,87,154,31,5,26,99,77,0,199,9,0,5,7,13,4,0.275,0.369,0.488,0.858,*5/789HD3
22,Tim Salmon (RoY-1st)\salmoti01,5.3,142,1993,24,CAL,AL,610,515,93,146,35,1,31,95,82,5,135,5,0,8,6,5,6,0.283,0.382,0.536,0.918,*9/8D
23,Corey Seager (RoY-1st)\seageco01,5.2,157,2016,22,LAD,NL,687,627,105,193,40,5,26,72,54,5,133,4,0,2,12,3,3,0.308,0.365,0.512,0.877,*6/H
24,Bryce Harper (RoY-1st)\harpebr03,5.2,139,2012,19,WSN,NL,597,533,98,144,26,9,22,59,56,0,120,2,3,3,8,18,6,0.27,0.34,0.477,0.817,*89/7H
25,Austin Jackson (RoY-2nd)\jacksau01,5.1,151,2010,23,DET,AL,675,618,103,181,34,10,4,41,47,4,170,4,3,3,5,27,6,0.293,0.345,0.4,0.745,*8/H
26,Chris Sabo (RoY-1st)\saboch01,5.1,137,1988,26,CIN,NL,582,538,74,146,40,2,11,44,29,1,52,6,5,4,12,46,14,0.271,0.314,0.414,0.728,*5/H6
27,Mark McGwire (RoY-1st)\mcgwima01,5.1,151,1987,23,OAK,AL,641,557,97,161,28,4,49,118,71,8,131,5,0,8,6,1,1,0.289,0.37,0.618,0.987,*3/59H
28,Dusty Baker\bakerdu01,5.1,127,1972,23,ATL,NL,503,446,62,143,27,2,17,76,45,2,68,4,2,6,9,4,7,0.321,0.383,0.504,0.888,*8/H97
29,Willie Randolph\randowi01,5,125,1976,21,NYY,AL,499,430,59,115,15,4,1,40,58,5,39,3,6,3,10,37,12,0.267,0.356,0.328,0.684,*4/H
30,Hanley Ramirez (RoY-1st)\ramirha01,4.9,158,2006,22,FLA,NL,700,633,119,185,46,11,17,59,56,0,128,4,5,2,7,51,15,0.292,0.353,0.48,0.833,*6/H
31,Joey Wendle (RoY-4th)\wendljo01,4.8,139,2018,28,TBR,AL,545,487,62,146,33,6,7,61,37,4,96,9,2,10,11,16,4,0.3,0.354,0.435,0.789,*457H6/9
32,Carlos Correa (RoY-1st)\correca01,4.8,99,2015,20,HOU,AL,432,387,52,108,22,1,22,68,40,2,78,1,0,4,10,14,4,0.279,0.345,0.512,0.857,*6
33,Evan Longoria (RoY-1st)\longoev01,4.8,122,2008,22,TBR,AL,508,448,67,122,31,2,27,85,46,4,122,6,0,8,8,7,0,0.272,0.343,0.531,0.874,*5/H6D
34,Chris Singleton (RoY-6th)\singlch01,4.8,133,1999,26,CHW,AL,530,496,72,149,31,6,17,72,22,1,45,1,4,6,10,20,5,0.3,0.328,0.49,0.818,*87/HD9
35,Jeff Bagwell (RoY-1st)\bagweje01,4.8,156,1991,23,HOU,NL,650,554,79,163,26,4,15,82,75,5,116,13,1,7,12,7,4,0.294,0.387,0.437,0.824,*3/H
36,Bill Doran (RoY-5th)\doranbi02,4.8,154,1983,25,HOU,NL,629,535,70,145,12,7,8,39,86,11,67,0,7,1,6,12,12,0.271,0.371,0.364,0.736,*4/H
37,Yasiel Puig (RoY-2nd)\puigya01,4.7,104,2013,22,LAD,NL,432,382,66,122,21,2,19,42,36,6,97,11,0,3,6,11,8,0.319,0.391,0.534,0.925,*98/H7
38,Mike Aviles (RoY-4th)\avilemi01,4.7,102,2008,27,KCR,AL,441,419,68,136,27,4,10,51,18,4,58,2,0,2,12,8,3,0.325,0.354,0.48,0.833,*64/5
39,Carlos Beltran (RoY-1st)\beltrca01,4.7,156,1999,22,KCR,AL,723,663,112,194,27,7,22,108,46,2,123,4,0,10,17,27,8,0.293,0.337,0.454,0.791,*8/DH
40,Cal Ripken Jr. (RoY-1st)\ripkeca01,4.7,160,1982,21,BAL,AL,655,598,90,158,32,5,28,93,46,3,95,3,2,6,16,3,3,0.264,0.317,0.475,0.792,*65/H
41,Greg Gross (RoY-2nd)\grossgr01,4.7,156,1974,21,HOU,NL,676,589,78,185,21,8,0,36,76,4,39,1,9,1,13,12,20,0.314,0.393,0.377,0.77,*97/H
42,Lew Ford\fordle01,4.5,154,2004,27,MIN,AL,658,569,89,170,31,4,15,72,67,3,75,13,2,7,15,20,2,0.299,0.381,0.446,0.827,*78D9/H
43,Scott Rolen (RoY-1st)\rolensc01,4.5,156,1997,22,PHI,NL,657,561,93,159,35,3,21,92,76,4,138,13,0,7,6,16,6,0.283,0.377,0.469,0.846,*5/H
44,Pat Listach (RoY-1st)\listapa01,4.5,149,1992,24,MIL,AL,649,579,93,168,19,6,1,47,55,0,124,1,12,2,3,54,18,0.29,0.352,0.349,0.701,*6/H84
45,Bernie Carbo (RoY-2nd)\carbobe01,4.5,125,1970,22,CIN,NL,467,365,54,113,19,3,21,63,94,9,77,4,2,2,6,10,4,0.31,0.454,0.551,1.004,*7H/9
46,Mike Cameron (RoY-6th)\camermi01,4.4,116,1997,24,CHW,AL,446,379,63,98,18,3,14,55,55,1,105,5,2,5,8,23,2,0.259,0.356,0.433,0.789,*89/HD
47,Roberto Alomar (RoY-5th)\alomaro01,4.4,143,1988,20,SDP,NL,611,545,84,145,24,6,9,41,47,5,83,3,16,0,15,24,6,0.266,0.328,0.382,0.709,*4/H
48,Trevor Story (RoY-4th)\storytr01,4.3,97,2016,23,COL,NL,415,372,67,101,21,4,27,72,35,2,130,5,2,1,5,8,5,0.272,0.341,0.567,0.909,*6/H
49,Denard Span (RoY-6th)\spande01,4.3,93,2008,24,MIN,AL,411,347,70,102,16,7,6,47,50,3,60,4,8,2,3,18,7,0.294,0.387,0.432,0.819,*98/HD
50,David Eckstein (RoY-4th)\eckstda01,4.3,153,2001,26,ANA,AL,664,582,82,166,26,2,4,41,43,0,60,21,16,2,11,29,4,0.285,0.355,0.357,0.712,*64D/H
51,Bake McBride (RoY-1st)\mcbriba01,4.3,150,1974,25,STL,NL,625,559,81,173,19,5,6,56,43,9,57,13,5,5,7,30,11,0.309,0.369,0.394,0.763,*8/H
52,Ronald Acuna Jr. (RoY-1st)\acunaro01,4.2,111,2018,20,ATL,NL,487,433,78,127,26,4,26,64,45,2,123,6,0,3,4,16,5,0.293,0.366,0.552,0.917,*78/9HD
53,Ted Sizemore (RoY-1st)\sizemte01,4.2,159,1969,24,LAD,NL,650,590,69,160,20,5,4,46,45,7,40,5,9,1,11,5,5,0.271,0.328,0.342,0.67,*46/7
54,Odubel Herrera\herreod01,4.1,147,2015,23,PHI,NL,537,495,64,147,30,3,8,41,28,0,129,8,5,1,6,16,8,0.297,0.344,0.418,0.762,*8H
55,Austin Kearns (RoY-3rd)\kearnau01,4.1,107,2002,22,CIN,NL,435,372,66,117,24,3,13,56,54,3,81,6,0,3,11,6,3,0.315,0.407,0.5,0.907,*97/H8
56,Milt Cuyler (RoY-3rd)\cuylemi01,4.1,154,1991,22,DET,AL,546,475,77,122,15,7,3,33,52,0,92,5,12,2,4,41,10,0.257,0.335,0.337,0.672,*8/H
57,Carmelo Martinez (RoY-6th)\martica01,4.1,149,1984,23,SDP,NL,570,488,64,122,28,2,13,66,68,4,82,4,0,10,7,1,3,0.25,0.34,0.395,0.736,*7/H3
58,Ruppert Jones\jonesru01,4.1,160,1977,22,SEA,AL,664,597,85,157,26,8,24,76,55,3,120,2,3,6,7,13,9,0.263,0.324,0.454,0.778,*8/DH
59,Cody Bellinger (RoY-1st)\bellico01,4,132,2017,21,LAD,NL,548,480,87,128,26,4,39,97,64,13,146,1,0,3,5,10,3,0.267,0.352,0.581,0.933,*37/9H8D
60,Francisco Lindor (RoY-2nd)\lindofr01,4,99,2015,21,CLE,AL,438,390,50,122,22,4,12,51,27,0,69,1,13,7,12,12,2,0.313,0.353,0.482,0.835,*6/HD
61,Yoenis Céspedes (RoY-2nd)\cespeyo01,4,129,2012,26,OAK,AL,540,487,70,142,25,5,23,82,43,5,102,7,0,3,9,16,4,0.292,0.356,0.505,0.861,78D/H
62,Eric Hinske (RoY-1st)\hinsker01,4,151,2002,24,TOR,AL,650,566,99,158,38,2,24,84,77,5,138,2,0,5,12,13,1,0.279,0.365,0.481,0.845,*5H
63,Rafael Furcal (RoY-1st)\furcara02,4,131,2000,22,ATL,NL,542,455,87,134,20,4,4,37,73,0,80,3,9,2,2,40,14,0.295,0.394,0.382,0.776,*64/H
64,Jim Sundberg (RoY-4th)\sundbji01,4,132,1974,23,TEX,AL,449,368,45,91,13,3,3,36,62,0,61,0,17,2,16,2,4,0.247,0.354,0.323,0.678,*2/H
65,Al Bumbry (RoY-1st)\bumbral01,4,110,1973,26,BAL,AL,395,356,73,120,15,11,7,34,34,0,49,3,1,1,5,23,10,0.337,0.398,0.5,0.898,*79H/D8
66,Ron Cey (RoY-6th)\ceyro01,4,152,1973,25,LAD,NL,595,507,60,124,18,4,15,80,74,7,77,2,4,8,19,1,1,0.245,0.338,0.385,0.723,*5/H
67,Matt Duffy (RoY-2nd)\duffyma01,3.9,149,2015,24,SFG,NL,612,573,77,169,28,6,12,77,30,0,96,5,2,2,22,12,0,0.295,0.334,0.428,0.762,*5H/463
68,Jung Ho Kang (RoY-3rd)\kangju01,3.9,126,2015,28,PIT,NL,467,421,60,121,24,2,15,58,28,0,99,17,0,1,10,5,4,0.287,0.355,0.461,0.816,*56H
69,Buster Posey (RoY-1st)\poseybu01,3.9,108,2010,23,SFG,NL,443,406,58,124,23,2,18,67,30,5,55,4,0,3,12,0,2,0.305,0.357,0.505,0.862,*23/H
70,Dustin Pedroia (RoY-1st)\pedrodu01,3.9,139,2007,23,BOS,AL,581,520,86,165,39,1,8,50,47,1,42,7,5,2,8,7,1,0.317,0.38,0.442,0.823,*4/HD
71,Mark Kotsay\kotsama01,3.9,154,1998,22,FLA,NL,623,578,72,161,25,7,11,68,34,2,61,1,7,3,17,10,5,0.279,0.318,0.403,0.721,*98H/3
72,Tim Teufel (RoY-4th)\teufeti01,3.9,157,1984,25,MIN,AL,652,568,76,149,30,3,14,61,76,8,73,2,2,4,18,1,3,0.262,0.349,0.4,0.749,*4
73,Wade Boggs (RoY-3rd)\boggswa01,3.9,104,1982,24,BOS,AL,381,338,51,118,14,1,5,44,35,4,21,0,4,4,9,1,0,0.349,0.406,0.441,0.847,35H/D7
74,Andre Dawson (RoY-1st)\dawsoan01,3.9,139,1977,22,MON,NL,566,525,64,148,26,9,19,65,34,4,93,2,1,4,6,21,7,0.282,0.326,0.474,0.8,*87/H9
75,Danny Santana (RoY-7th)\santada01,3.8,101,2014,23,MIN,AL,430,405,70,129,27,7,7,40,19,0,98,3,2,1,3,20,4,0.319,0.353,0.472,0.824,*86/HD
76,Johnny Ray (RoY-2nd)\rayjo01,3.8,162,1982,25,PIT,NL,703,647,79,182,30,7,7,63,36,1,34,1,13,5,8,16,7,0.281,0.318,0.382,0.7,*4
77,Lou Whitaker (RoY-1st)\whitalo01,3.8,139,1978,21,DET,AL,567,484,71,138,12,7,3,58,61,0,65,1,13,8,9,7,7,0.285,0.361,0.357,0.718,*4H/D
78,Rich Coggins (RoY-6th)\coggiri01,3.8,110,1973,22,BAL,AL,426,389,54,124,19,9,7,41,28,2,24,0,7,2,7,17,9,0.319,0.363,0.468,0.831,*98H/D
79,Richie Hebner\hebneri01,3.8,129,1969,21,PIT,NL,532,459,72,138,23,4,8,47,53,10,53,8,9,3,7,4,1,0.301,0.38,0.42,0.801,*5/H3
80,Dustin Ackley (RoY-6th)\ackledu01,3.7,90,2011,23,SEA,AL,376,333,39,91,16,7,6,36,40,1,79,0,0,3,3,6,0,0.273,0.348,0.417,0.766,*4/HD3
81,Randy Milligan\millira01,3.7,124,1989,27,BAL,AL,444,365,56,98,23,5,12,45,74,2,75,3,0,2,12,9,5,0.268,0.394,0.458,0.852,*3H/D
82,Elvis Andrus (RoY-2nd)\andruel01,3.6,145,2009,20,TEX,AL,541,480,72,128,17,8,6,40,40,0,77,6,12,3,4,33,6,0.267,0.329,0.373,0.702,*6/H
83,Scott Podsednik (RoY-2nd)\podsesc01,3.6,154,2003,27,MIL,NL,628,558,100,175,29,8,9,58,56,2,91,4,8,2,11,43,10,0.314,0.379,0.443,0.822,*8H9/7
84,Luis Gonzalez\gonzalu01,3.6,137,1991,23,HOU,NL,526,473,51,120,28,9,13,69,40,4,101,8,1,4,9,10,7,0.254,0.32,0.433,0.753,*7H
