Rk,Player,WAR,IP,Year,Age,Tm,Lg,G,GS,CG,SHO,GF,W,L,W-L%,SV,H,R,ER,BB,SO,ERA,FIP,K%,BB%,ERA+,BAbip,HR,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,BA,OBP,SLG,OPS,OPS+,Pit,Str
1,Mike Mussina\mussimi01,5.1,200.1,2008,39,NYY,AL,34,34,0,0,0,20,9,0.69,0,214,85,75,31,150,3.37,3.32,18.3%,3.8%,131,0.323,17,819,769,47,2,3,8,4,7,24,12,7,0,0,4,0.278,0.31,0.411,0.721,88,3135,2085
2,Jose Fernandez\fernajo02,4.4,182.1,2016,23,MIA,NL,29,29,0,0,0,16,8,0.667,0,149,63,58,55,253,2.86,2.3,34.3%,7.5%,137,0.337,13,737,664,29,3,6,6,7,5,14,2,6,0,1,9,0.224,0.288,0.336,0.624,75,2940,1916
3,Britt Burns\burnsbr01,4.2,227,1985,26,CHW,AL,36,34,8,4,1,18,11,0.621,0,206,105,100,79,172,3.96,3.73,18.2%,8.4%,109,0.273,26,944,852,36,5,1,2,6,5,20,17,8,1,0,2,0.242,0.306,0.387,0.693,85,,
4,Curt Schilling\schilcu01,4,151,2007,40,BOS,AL,24,24,1,1,0,9,8,0.529,0,165,68,65,23,101,3.87,4.21,16.0%,3.6%,123,0.299,21,633,600,35,2,1,2,4,3,8,5,1,1,0,0,0.275,0.303,0.445,0.748,89,2272,1557
5,Mike Sirotka\sirotmi01,4,197,2000,29,CHW,AL,32,32,1,0,0,15,10,0.6,0,203,101,83,69,128,3.79,4.42,15.4%,8.3%,133,0.297,23,832,755,30,2,1,1,4,3,26,8,4,1,2,8,0.269,0.33,0.405,0.735,84,3165,1914
6,Roger Bailey\bailero01,3.7,191,1997,26,COL,NL,29,29,5,2,0,9,10,0.474,0,210,103,91,70,84,4.29,5.37,10.1%,8.4%,121,0.289,27,835,741,41,7,2,13,7,4,27,16,5,6,0,4,0.283,0.354,0.467,0.821,102,,
7,Brian Holman\holmabr01,3.6,195.1,1991,26,SEA,AL,30,30,5,3,0,13,14,0.481,0,199,86,80,77,108,3.69,4.15,12.9%,9.2%,112,0.294,16,839,743,36,4,0,10,6,3,21,4,5,1,1,8,0.268,0.343,0.392,0.735,103,,
8,John Tudor\tudorjo01,3.4,146.1,1990,36,STL,NL,25,22,1,1,0,12,4,0.75,0,120,48,39,30,63,2.4,3.49,11.0%,5.2%,159,0.238,10,575,534,25,1,4,2,8,1,7,8,9,4,0,0,0.225,0.268,0.331,0.6,69,,
9,Jeff Zimmerman\zimmeje02,3.3,71.1,2001,28,TEX,AL,66,0,0,0,53,4,4,0.5,28,48,19,19,16,72,2.4,3.69,26.4%,5.9%,195,0.225,10,273,250,8,0,1,4,2,1,3,4,6,0,0,0,0.192,0.251,0.344,0.595,53,1106,734
10,Bob Tewksbury\tewksbo01,3.3,148.1,1998,37,MIN,AL,26,25,1,0,0,7,13,0.35,0,174,82,79,20,60,4.79,4.52,9.5%,3.2%,99,0.296,19,635,596,26,7,1,6,7,6,10,10,3,0,0,5,0.292,0.318,0.455,0.773,97,,
