Rk,Name,WAR,IP,Year,Age,Tm,Lg,G,GS,CG,SHO,GF,W,L,W-L%,SV,H,R,ER,BB,SO,ERA,FIP,K%,BB%,ERA+,BAbip,HR,BF,AB,2B,3B,IBB,HBP,SH,SF,GDP,SB,CS,PO,BK,WP,BA,OBP,SLG,OPS,OPS+,Pit,Str
1,Ted Abernathy\abernte02,1.8,58.1,1972,39,KCR,AL,45,0,0,0,25,3,4,0.429,5,44,15,11,19,28,1.70,3.02,11.7%,8.0%,179,0.228,2,239,212,8,1,3,3,5,2,4,6,2,0,0,0,0.208,0.280,0.283,0.563,72,,
2,Jack Aker\akerja01,0.1,58.0,1974,33,TOT,NL,41,0,0,0,24,2,2,0.500,2,50,29,23,23,25,3.57,4.58,10.3%,9.4%,104,0.235,7,244,212,8,0,3,2,4,3,9,3,4,0,0,1,0.236,0.313,0.373,0.685,96,,
3,Vic Albury\alburvi01,0.3,50.1,1976,29,MIN,AL,23,0,0,0,11,3,1,0.750,0,51,22,20,24,23,3.58,3.27,10.4%,10.9%,101,0.298,0,221,189,16,2,3,2,2,5,2,2,4,2,0,4,0.270,0.350,0.376,0.726,110,,
4,Santo Alcala\alcalsa01,-0.5,117.1,1977,24,TOT,NL,38,12,0,0,8,3,7,0.300,2,126,66,63,54,73,4.83,4.39,14.0%,10.4%,79,0.301,13,520,459,23,6,6,3,2,2,8,17,6,0,3,6,0.275,0.353,0.436,0.789,120,,
5,Bob Apodaca\apodabo01,0.4,84.0,1977,27,NYM,NL,59,0,0,0,27,4,8,0.333,5,83,38,32,30,53,3.43,3.67,14.4%,8.2%,109,0.284,7,367,326,12,3,11,1,8,2,5,7,2,0,1,2,0.255,0.318,0.374,0.692,94,,
6,Steve Arlin\arlinst01,-1.8,107.2,1974,28,TOT,ML,27,22,2,0,3,3,12,0.200,1,144,80,74,59,38,6.19,4.30,7.5%,11.6%,58,0.346,6,510,438,26,2,8,2,6,5,9,6,6,1,1,11,0.329,0.407,0.438,0.845,146,,
7,Rick Baldwin\baldwri01,0.0,62.2,1977,24,NYM,NL,40,0,0,0,13,1,2,0.333,1,62,32,31,31,23,4.45,4.97,8.4%,11.3%,84,0.271,6,274,234,6,0,9,5,2,2,13,6,0,0,1,2,0.265,0.360,0.368,0.728,107,,
8,Eddie Bane\baneed01,-0.9,79.1,1976,24,MIN,AL,17,15,1,0,2,4,7,0.364,0,92,52,45,39,24,5.11,4.49,6.7%,10.9%,71,0.299,6,359,317,18,4,2,0,2,1,8,10,6,1,0,6,0.290,0.367,0.429,0.796,130,,
9,Gary Bell\bellga01,-0.6,100.0,1969,32,TOT,AL,36,13,1,1,12,2,6,0.250,2,124,67,59,57,56,5.31,5.30,11.8%,12.0%,70,0.321,16,474,405,21,2,10,4,5,3,8,8,1,0,0,7,0.306,0.394,0.486,0.881,153,,
10,Bobby Bolin\bolinbo01,1.6,53.1,1973,34,BOS,AL,39,0,0,0,29,3,4,0.429,15,45,16,16,13,31,2.70,3.41,14.6%,6.1%,150,0.252,5,212,194,2,0,2,1,3,1,5,1,0,0,0,1,0.232,0.282,0.320,0.602,64,,
