"Year","cbns","threshold","retirees","prop"
1969,35,-2,36,0.972222222222222
1970,42,-2,43,0.976744186046512
1971,40,-2,41,0.975609756097561
1972,52,-2,52,1
1973,40,-2,40,1
1974,43,-2,44,0.977272727272727
1975,37,-2,37,1
1976,34,-2,34,1
1977,60,-2,60,1
1978,35,-2,37,0.945945945945946
1979,47,-2,47,1
1980,44,-2,44,1
1981,39,-2,39,1
1982,45,-2,46,0.978260869565217
1983,39,-2,40,0.975
1984,39,-2,39,1
1985,52,-2,52,1
1986,32,-2,32,1
1987,28,-2,30,0.933333333333333
1988,32,-2,32,1
1989,37,-2,37,1
1990,48,-2,48,1
1991,45,-2,45,1
1992,42,-2,42,1
1993,53,-2,53,1
1994,33,-2,34,0.970588235294118
1995,44,-2,44,1
1996,45,-2,46,0.978260869565217
1997,35,-2,35,1
1998,40,-2,42,0.952380952380952
1999,47,-2,48,0.979166666666667
2000,53,-2,53,1
2001,53,-2,54,0.981481481481482
2002,38,-2,39,0.974358974358974
2003,40,-2,40,1
2004,45,-2,46,0.978260869565217
2005,30,-2,30,1
2006,42,-2,42,1
2007,42,-2,43,0.976744186046512
2008,40,-2,40,1
2009,45,-2,45,1
2010,48,-2,49,0.979591836734694
2011,51,-2,52,0.980769230769231
2012,47,-2,48,0.979166666666667
2013,41,-2,42,0.976190476190476
2014,46,-2,46,1
2015,53,-2,54,0.981481481481482
2016,61,-2,62,0.983870967741935
2017,73,-2,73,1
2018,63,-2,63,1
1969,35,-1.975,36,0.972222222222222
1970,42,-1.975,43,0.976744186046512
1971,40,-1.975,41,0.975609756097561
1972,52,-1.975,52,1
1973,40,-1.975,40,1
1974,43,-1.975,44,0.977272727272727
1975,37,-1.975,37,1
1976,34,-1.975,34,1
1977,60,-1.975,60,1
1978,35,-1.975,37,0.945945945945946
1979,47,-1.975,47,1
1980,44,-1.975,44,1
1981,39,-1.975,39,1
1982,45,-1.975,46,0.978260869565217
1983,39,-1.975,40,0.975
1984,39,-1.975,39,1
1985,52,-1.975,52,1
1986,32,-1.975,32,1
1987,28,-1.975,30,0.933333333333333
1988,32,-1.975,32,1
