"","Year","cbns","threshold","retirees","prop"
"1",1969,31,-2,32,0.96875
"2",1970,34,-2,35,0.971428571428571
"3",1971,42,-2,44,0.954545454545455
"4",1972,49,-2,49,1
"5",1973,41,-2,41,1
"6",1974,44,-2,45,0.977777777777778
"7",1975,36,-2,36,1
"8",1976,33,-2,33,1
"9",1977,55,-2,55,1
"10",1978,33,-2,35,0.942857142857143
"11",1979,42,-2,42,1
"12",1980,45,-2,45,1
"13",1981,37,-2,37,1
"14",1982,37,-2,38,0.973684210526316
"15",1983,35,-2,35,1
"16",1984,41,-2,41,1
"17",1985,55,-2,55,1
"18",1986,47,-2,47,1
"19",1987,34,-2,36,0.944444444444444
"20",1988,36,-2,36,1
"21",1989,46,-2,46,1
"22",1990,51,-2,51,1
"23",1991,43,-2,43,1
"24",1992,45,-2,45,1
"25",1993,44,-2,44,1
"26",1994,36,-2,38,0.947368421052632
"27",1995,47,-2,47,1
"28",1996,37,-2,38,0.973684210526316
"29",1997,36,-2,36,1
"30",1998,50,-2,52,0.961538461538462
"31",1999,47,-2,49,0.959183673469388
"32",2000,52,-2,52,1
"33",2001,66,-2,67,0.985074626865672
"34",2002,45,-2,46,0.978260869565217
"35",2003,44,-2,44,1
"36",2004,48,-2,49,0.979591836734694
"37",2005,42,-2,44,0.954545454545455
"38",2006,50,-2,50,1
"39",2007,63,-2,65,0.969230769230769
"40",2008,53,-2,53,1
"41",2009,47,-2,48,0.979166666666667
"42",2010,50,-2,51,0.980392156862745
"43",2011,57,-2,58,0.982758620689655
"44",2012,55,-2,56,0.982142857142857
"45",2013,56,-2,57,0.982456140350877
"46",2014,57,-2,57,1
"47",2015,57,-2,58,0.982758620689655
"48",2016,59,-2,60,0.983333333333333
"49",2017,69,-2,69,1
"50",2018,62,-2,62,1
"51",1969,31,-1.975,32,0.96875
"52",1970,34,-1.975,35,0.971428571428571
"53",1971,42,-1.975,44,0.954545454545455
"54",1972,49,-1.975,49,1
"55",1973,41,-1.975,41,1
"56",1974,44,-1.975,45,0.977777777777778
"57",1975,36,-1.975,36,1
"58",1976,33,-1.975,33,1
"59",1977,55,-1.975,55,1
"60",1978,33,-1.975,35,0.942857142857143
"61",1979,42,-1.975,42,1
"62",1980,45,-1.975,45,1
"63",1981,37,-1.975,37,1
"64",1982,37,-1.975,38,0.973684210526316
"65",1983,35,-1.975,35,1
"66",1984,41,-1.975,41,1
"67",1985,55,-1.975,55,1
"68",1986,47,-1.975,47,1
"69",1987,34,-1.975,36,0.944444444444444
"70",1988,36,-1.975,36,1
"71",1989,46,-1.975,46,1
"72",1990,51,-1.975,51,1
"73",1991,43,-1.975,43,1
"74",1992,45,-1.975,45,1
"75",1993,44,-1.975,44,1
"76",1994,36,-1.975,38,0.947368421052632
"77",1995,47,-1.975,47,1
"78",1996,37,-1.975,38,0.973684210526316
"79",1997,36,-1.975,36,1
"80",1998,50,-1.975,52,0.961538461538462
"81",1999,47,-1.975,49,0.959183673469388
"82",2000,52,-1.975,52,1
"83",2001,66,-1.975,67,0.985074626865672
"84",2002,45,-1.975,46,0.978260869565217
"85",2003,44,-1.975,44,1
"86",2004,48,-1.975,49,0.979591836734694
"87",2005,42,-1.975,44,0.954545454545455
"88",2006,50,-1.975,50,1
"89",2007,62,-1.975,65,0.953846153846154
"90",2008,53,-1.975,53,1
"91",2009,47,-1.975,48,0.979166666666667
"92",2010,50,-1.975,51,0.980392156862745
"93",2011,56,-1.975,58,0.96551724137931
