Year,prop,totRev,totPayroll,labShare,postMoneyball
1989,0.13043478260869565,1346.1,454.422925,0.33758481910705,0
1990,0.13725490196078433,1459.1,630.008474,0.4317788184497293,0
1991,0.3023255813953488,1583.6,783.893948,0.4950075448345542,0
1992,0.2,1774.5,856.648188,0.48275468469991545,0
1993,0.1590909090909091,1687,884.936262,0.5245620995850623,0
1994,0.21052631578947367,1410.5,882.08204,0.6253683374689827,0
1995,0.2765957446808511,1847.2,895.178844,0.48461392594196623,0
1996,0.23684210526315788,2215.8,1061.63136,0.4791187652315191,0
1997,0.2222222222222222,2663.3,1210.532333,0.45452346074418953,0
1998,0.15384615384615385,2827.9,1445.119433,0.5110221128752784,0
1999,0.22448979591836735,3177.6,1686.271795,0.5306746585473314,0
2000,0.2692307692307692,3583,1962.841814,0.54782076862964,0
2001,0.208955223880597,3652,2024.680522,0.5544032097480833,0
2002,0.2608695652173913,3878,2127.863461,0.5487012534811758,0
2003,0.18181818181818182,4269,2071.265943,0.485187618411806,0
2004,0.08163265306122448,4733,2191.886898,0.4631073099514051,1
2005,0.1590909090909091,5111,2326.706685,0.4552351173938564,1
2006,0.12,5489,2476.688987,0.4512095075605757,1
2007,0.16923076923076924,5819,2686.433458,0.46166582883656987,1
2008,0.07547169811320754,5898,2655.395194,0.4502195988470668,1
2009,0.14583333333333334,6137,2730.601685,0.4449407992504481,1
2010,0.0784313725490196,6359,2786.161291,0.4381445653404623,1
2011,0.1206896551724138,6808,2940.657192,0.4319414206815511,1
2012,0.05357142857142857,7089,3187.568088,0.4496498925095218,1
2013,0.12280701754385964,7864,3453.960397,0.4392116476347914,1
2014,0.12280701754385964,8394,3658.284542,0.43582136549916606,1
2015,0.10344827586206896,9027,3937.842897,0.43622941143236954,1
2016,0.15,9460,3878.284045,0.4099666009513742,1
2017,0.13043478260869565,9895,4141.041635,0.4184983966649823,1
2018,0.1935483870967742,10374,4007.86948,0.3863379101600154,1
