"WAR","Year","above_threshold"
1.8,1972,TRUE
0.1,1974,FALSE
0.3,1976,FALSE
-0.5,1977,FALSE
0.4,1977,FALSE
-1.8,1974,FALSE
0,1977,FALSE
-0.9,1976,FALSE
-0.6,1969,FALSE
1.6,1973,TRUE
-0.2,1969,FALSE
0.4,1976,FALSE
-1.5,1970,FALSE
-0.6,1973,FALSE
-0.3,1978,FALSE
-0.6,1978,FALSE
-0.1,1977,FALSE
-2,1971,FALSE
0.3,1980,FALSE
0.2,1978,FALSE
1.4,1977,TRUE
0.7,1971,TRUE
-1,1972,FALSE
-0.9,1972,FALSE
-0.8,1978,FALSE
-2.1,1971,FALSE
-0.7,1975,FALSE
-0.1,1974,FALSE
-1.9,1976,FALSE
-0.4,1973,FALSE
-1.2,1977,FALSE
0.3,1975,FALSE
-1.7,1977,FALSE
1.4,1980,TRUE
-0.2,1969,FALSE
-1.5,1979,FALSE
0.5,1969,FALSE
0.8,1969,FALSE
1,1973,TRUE
-1.5,1969,FALSE
0.5,1976,FALSE
-0.3,1979,FALSE
1.2,1976,TRUE
1.4,1980,TRUE
-1.3,1978,FALSE
-0.3,1975,FALSE
1,1977,FALSE
-0.3,1975,FALSE
0.6,1971,FALSE
-1,1976,FALSE
-0.1,1980,FALSE
-0.1,1973,FALSE
0.7,1975,FALSE
-0.3,1972,FALSE
-0.7,1977,FALSE
-1.4,1972,FALSE
0,1971,FALSE
1.6,1975,TRUE
-0.6,1979,FALSE
0.5,1979,FALSE
0.2,1972,FALSE
-0.2,1978,FALSE
1.1,1970,TRUE
-0.4,1979,FALSE
1,1977,FALSE
-0.1,1977,FALSE
-0.8,1977,FALSE
0.4,1971,FALSE
-1.4,1976,FALSE
0.7,1978,FALSE
-1,1980,FALSE
0.1,1974,FALSE
-1.4,1980,FALSE
0.5,1973,FALSE
-1,1969,FALSE
-1.2,1975,FALSE
-0.4,1977,FALSE
-0.3,1980,FALSE
-1,1979,FALSE
0.4,1978,FALSE
-0.5,1974,FALSE
-0.2,1975,FALSE
0.5,1979,FALSE
-1.6,1972,FALSE
-1.6,1973,FALSE
-1.8,1972,FALSE
-0.5,1975,FALSE
0,1979,FALSE
-0.8,1972,FALSE
0.3,1974,FALSE
0.9,1980,TRUE
-0.3,1971,FALSE
-0.6,1980,FALSE
-0.5,1980,FALSE
-0.4,1970,FALSE
-0.6,1976,FALSE
0.5,1970,FALSE
1.3,1976,TRUE
-0.9,1970,FALSE
-1.6,1972,FALSE
-0.7,1977,FALSE
0.1,1980,FALSE
0.2,1970,FALSE
1.9,1975,TRUE
-1.2,1977,FALSE
-0.6,1974,FALSE
2.3,1973,TRUE
0.7,1980,FALSE
-1.8,1975,FALSE
-0.7,1978,FALSE
-0.6,1972,FALSE
-0.4,1976,FALSE
0.2,1972,FALSE
0.1,1969,FALSE
-2.2,1978,FALSE
-0.2,1971,FALSE
-0.1,1969,FALSE
0.1,1974,FALSE
-0.7,1971,FALSE
0.1,1972,FALSE
0,1971,FALSE
-0.9,1975,FALSE
2.8,1980,TRUE
0.2,1972,FALSE
-1.1,1971,FALSE
0.1,1979,FALSE
-0.5,1977,FALSE
0.6,1976,FALSE
-1.7,1977,FALSE
-0.7,1977,FALSE
-0.4,1979,FALSE
-0.7,1973,FALSE
0.5,1975,FALSE
-1.4,1977,FALSE
-1.2,1977,FALSE
0.8,1979,FALSE
-0.2,1974,FALSE
-0.8,1975,FALSE
-0.9,1974,FALSE
0.6,1974,FALSE
0.5,1973,FALSE
-1.3,1977,FALSE
0,1975,FALSE
-1.6,1979,FALSE
-1.2,1979,FALSE
-0.7,1978,FALSE
-0.2,1974,FALSE
-2.1,1970,FALSE
-0.8,1970,FALSE
-0.2,1969,FALSE
-0.2,1970,FALSE
0.9,1978,TRUE
3,1974,TRUE
0.7,1970,FALSE
-0.3,1978,FALSE
-0.5,1974,FALSE
-0.2,1969,FALSE
-0.3,1975,FALSE
1.7,1989,TRUE
0.6,1989,TRUE
-0.2,1991,FALSE
1,1983,FALSE
-0.3,1988,FALSE
0.3,1984,FALSE
-0.3,1991,FALSE
-0.5,1983,FALSE
0,1991,FALSE
-0.1,1983,FALSE
-1.5,1992,FALSE
-0.2,1982,FALSE
-1,1983,FALSE
0.3,1990,FALSE
1.1,1986,TRUE
0.3,1992,FALSE
-0.1,1993,FALSE
-0.3,1982,FALSE
1,1991,TRUE
-1.6,1985,FALSE
4.2,1985,TRUE
-0.4,1993,FALSE
-1.4,1986,FALSE
0.3,1995,FALSE
0,1984,FALSE
-0.3,1985,FALSE
1,1981,TRUE
-0.9,1985,FALSE
-0.3,1991,FALSE
0.4,1991,FALSE
-1,1990,FALSE
-0.3,1981,FALSE
-1.5,1981,FALSE
0.1,1988,FALSE
0.1,1989,FALSE
-0.8,1984,FALSE
-1.3,1987,FALSE
-0.3,1992,FALSE
-0.1,1994,FALSE
-0.9,1995,FALSE
-0.3,1995,FALSE
1.2,1986,TRUE
-2.1,1987,FALSE
0,1994,FALSE
-0.5,1993,FALSE
-0.7,1981,FALSE
-1.2,1981,FALSE
0.8,1984,FALSE
-0.4,1985,FALSE
0.7,1992,TRUE
-0.8,1995,FALSE
-0.7,1986,FALSE
-1.7,1989,FALSE
0,1987,FALSE
-0.7,1982,FALSE
-0.4,1981,FALSE
-1,1982,FALSE
-0.8,1983,FALSE
0.1,1988,FALSE
-0.7,1994,FALSE
2,1991,TRUE
-0.4,1982,FALSE
0.5,1988,FALSE
0.8,1994,FALSE
-0.8,1990,FALSE
-0.1,1982,FALSE
-0.4,1991,FALSE
2.3,1995,TRUE
1.2,1994,TRUE
-1.6,1994,FALSE
-1,1994,FALSE
-0.8,1993,FALSE
3.6,1991,TRUE
-0.2,1990,FALSE
0,1985,FALSE
-0.7,1994,FALSE
-0.3,1990,FALSE
-1,1986,FALSE
-1,1989,FALSE
-0.5,1987,FALSE
0.2,1993,FALSE
0.6,1986,FALSE
-0.5,1987,FALSE
0.1,1981,FALSE
1,1983,FALSE
-0.9,1989,FALSE
-0.2,1987,FALSE
-0.3,1985,FALSE
-0.3,1988,FALSE
-0.4,1982,FALSE
0.5,1986,FALSE
-0.2,1992,FALSE
1.2,1985,TRUE
0.5,1985,FALSE
0.2,1984,FALSE
1.4,1986,TRUE
0.7,1993,TRUE
-1.7,1986,FALSE
-0.2,1988,FALSE
-0.7,1985,FALSE
1.2,1993,TRUE
1.3,1986,TRUE
0.1,1981,FALSE
0.1,1987,FALSE
-0.4,1987,FALSE
-0.9,1985,FALSE
1.3,1991,TRUE
0.8,1986,FALSE
0.1,1991,FALSE
-0.2,1983,FALSE
-0.1,1981,FALSE
0.5,1994,FALSE
-0.5,1992,FALSE
-0.2,1983,FALSE
-0.8,1985,FALSE
0.2,1983,FALSE
-0.1,1982,FALSE
0.2,1990,FALSE
0.1,1990,FALSE
0.2,1983,FALSE
0.6,1990,FALSE
-0.6,1984,FALSE
-1.5,1995,FALSE
0.2,1994,FALSE
1.1,1993,TRUE
0.5,1990,FALSE
-0.1,1987,FALSE
0.9,1988,TRUE
-0.9,1990,FALSE
2.7,1992,TRUE
0.2,1981,FALSE
0.1,1995,FALSE
2.3,1991,TRUE
1.3,1983,TRUE
-0.5,1991,FALSE
-1.2,1991,FALSE
0.6,1990,FALSE
0.4,1990,FALSE
1,1983,FALSE
-1.7,1984,FALSE
-0.3,1983,FALSE
0.4,1989,FALSE
-2.2,1982,FALSE
-0.1,1990,FALSE
1.4,1984,TRUE
1.3,1983,TRUE
-0.3,1989,FALSE
0.8,1982,FALSE
-0.3,1992,FALSE
-0.2,1992,FALSE
1.1,1992,TRUE
-0.8,1986,FALSE
0,1982,FALSE
-0.6,1993,FALSE
-0.6,1985,FALSE
0.9,1983,FALSE
-1.7,1987,FALSE
2.5,1986,TRUE
0.3,1988,FALSE
-0.8,1991,FALSE
-0.7,1986,FALSE
-0.8,1991,FALSE
0,1989,FALSE
-1.2,1982,FALSE
-0.7,1983,FALSE
-0.7,1988,FALSE
1.5,1985,TRUE
-1.6,1989,FALSE
-0.9,1995,FALSE
-0.6,1981,FALSE
0.8,1988,TRUE
-0.6,1985,FALSE
-1.4,1994,FALSE
-0.1,1988,FALSE
0.9,1993,TRUE
-0.7,1989,FALSE
-1,1992,FALSE
0.8,1991,TRUE
0.1,1990,FALSE
-0.4,1990,FALSE
0.7,1981,FALSE
3.4,1990,TRUE
0.3,1984,FALSE
-0.8,1995,FALSE
0.3,1981,FALSE
-0.9,1993,FALSE
0.2,1995,FALSE
-1.2,1994,FALSE
0.2,1986,FALSE
-0.8,1991,FALSE
0,1986,FALSE
-0.7,1984,FALSE
0.2,1989,FALSE
0.8,1994,FALSE
0.2,1993,FALSE
-1.1,1999,FALSE
-1,2004,FALSE
-0.8,2005,FALSE
-1,1997,FALSE
-0.3,2002,FALSE
-0.5,2006,FALSE
0.7,1999,TRUE
0,2007,FALSE
3.7,1997,TRUE
0.7,2005,FALSE
-0.6,1997,FALSE
-0.7,1998,FALSE
-0.3,2007,FALSE
1.4,2002,TRUE
-1.6,2000,FALSE
-2.5,2004,FALSE
-0.6,1997,FALSE
-0.5,2001,FALSE
-0.5,2001,FALSE
-0.4,1996,FALSE
-0.8,2001,FALSE
-0.4,2005,FALSE
0.4,2004,FALSE
1.5,2003,TRUE
-2.4,2002,FALSE
-1,1999,FALSE
-0.1,1997,FALSE
-0.2,2006,FALSE
1.5,2007,TRUE
-0.3,2006,FALSE
-1,1999,FALSE
-0.2,2002,FALSE
0.6,2000,TRUE
0.7,2000,TRUE
-0.5,2003,FALSE
-0.8,2003,FALSE
-1.1,1998,FALSE
0.5,1996,FALSE
-0.4,2005,FALSE
-1.4,1998,FALSE
0.1,2004,FALSE
0.4,1996,FALSE
-1.4,1999,FALSE
-0.6,2000,FALSE
0.7,2000,TRUE
-0.8,2001,FALSE
1.9,2002,TRUE
-0.1,1996,FALSE
-0.3,2000,FALSE
1.2,1997,TRUE
-0.4,2001,FALSE
-0.6,1996,FALSE
-0.9,2006,FALSE
0.8,2000,TRUE
-1.2,1999,FALSE
-0.2,1998,FALSE
-1.2,2003,FALSE
0.4,2006,FALSE
0.7,1998,TRUE
0.6,2005,FALSE
-0.5,2001,FALSE
-1.2,2004,FALSE
-0.3,2001,FALSE
2.5,2007,TRUE
1,1998,TRUE
-0.1,2001,FALSE
-0.2,2005,FALSE
-1.7,1997,FALSE
0.8,1999,TRUE
-0.7,2000,FALSE
-0.4,2002,FALSE
1.3,2000,TRUE
-0.4,2000,FALSE
-1.1,2000,FALSE
0,2007,FALSE
1.3,1998,TRUE
0.3,1996,FALSE
1,2002,TRUE
-1,2007,FALSE
0.5,2004,FALSE
-1.1,1998,FALSE
0,1999,FALSE
-0.9,2005,FALSE
1.8,2006,TRUE
2.3,2007,TRUE
-0.2,2002,FALSE
-0.7,1996,FALSE
-2.3,2007,FALSE
-1,1998,FALSE
-0.8,2005,FALSE
-1.5,2006,FALSE
-0.8,1996,FALSE
1.7,1997,TRUE
0.6,1996,FALSE
-0.7,2001,FALSE
0.1,2006,FALSE
-1.6,2007,FALSE
0,2002,FALSE
-0.9,1999,FALSE
0.8,1999,TRUE
-0.2,2004,FALSE
0.1,2007,FALSE
0.1,1998,FALSE
2.4,2002,TRUE
-0.1,2006,FALSE
-0.9,2007,FALSE
-0.1,1999,FALSE
-1.6,2001,FALSE
1,1999,TRUE
1,1996,TRUE
-0.3,2000,FALSE
-1,2001,FALSE
0,1999,FALSE
0.4,1999,TRUE
-0.7,2002,FALSE
-0.2,2005,FALSE
1.8,2006,TRUE
1.6,2001,TRUE
0.9,2003,TRUE
-0.5,2007,FALSE
-0.2,2001,FALSE
-0.2,2002,FALSE
-0.3,1998,FALSE
0.5,2004,FALSE
0.1,2005,FALSE
-0.9,2005,FALSE
1.6,1996,TRUE
-1.1,1998,FALSE
0.5,1996,FALSE
-0.6,1999,FALSE
0,2007,FALSE
4,2007,TRUE
-0.3,2007,FALSE
-1.2,2007,FALSE
0.9,2001,TRUE
1.7,2000,TRUE
-0.8,2007,FALSE
4,2000,TRUE
-0.3,2000,FALSE
-0.1,1997,FALSE
0.4,2001,FALSE
0,1998,FALSE
0.5,1996,FALSE
-1.1,2000,FALSE
-0.7,2004,FALSE
-0.7,2000,FALSE
-0.1,2007,FALSE
-0.2,2007,FALSE
1.1,2003,TRUE
0.1,1998,FALSE
0.5,2004,FALSE
-0.4,1998,FALSE
1.1,2001,TRUE
3.3,1998,TRUE
0.8,2005,FALSE
0.1,2005,FALSE
-0.5,1997,FALSE
-0.3,1996,FALSE
-1.3,2004,FALSE
-0.4,1997,FALSE
0.5,2001,FALSE
-0.6,2002,FALSE
-0.5,2007,FALSE
0.7,2000,TRUE
0.1,2007,FALSE
-1.3,2003,FALSE
1.3,2007,TRUE
0.2,2002,FALSE
-0.4,2007,FALSE
-0.8,1997,FALSE
1.2,2002,TRUE
3.3,2001,TRUE
-0.5,2017,FALSE
0.5,2012,FALSE
-1.5,2017,FALSE
0,2018,FALSE
0.4,2015,FALSE
0,2008,FALSE
-0.2,2010,FALSE
-0.1,2012,FALSE
2.1,2014,TRUE
-0.4,2014,FALSE
0,2017,FALSE
-2,2012,FALSE
0.1,2013,FALSE
-0.4,2013,FALSE
0,2010,FALSE
-1.4,2015,FALSE
1.2,2015,TRUE
2.6,2015,TRUE
-0.6,2009,FALSE
0.1,2014,FALSE
-1.1,2009,FALSE
-0.4,2017,FALSE
2.4,2009,TRUE
0.2,2016,FALSE
0,2008,FALSE
0.2,2016,FALSE
0.9,2018,TRUE
0.4,2018,FALSE
-1.4,2012,FALSE
0.6,2015,FALSE
-0.4,2014,FALSE
-0.6,2015,FALSE
0.1,2018,FALSE
0,2010,FALSE
-0.2,2013,FALSE
2.2,2017,TRUE
-0.6,2015,FALSE
0.5,2017,FALSE
4.4,2016,TRUE
0.7,2018,TRUE
0.4,2010,FALSE
0.3,2016,FALSE
1,2018,TRUE
0.1,2008,FALSE
-0.7,2010,FALSE
-0.2,2018,FALSE
0.5,2013,FALSE
-0.5,2018,FALSE
0.1,2013,FALSE
-0.1,2017,FALSE
1.5,2013,TRUE
-0.2,2008,FALSE
-0.1,2008,FALSE
0.1,2015,FALSE
-0.5,2013,FALSE
-0.5,2011,FALSE
-0.5,2012,FALSE
0,2017,FALSE
0,2014,FALSE
1.7,2009,TRUE
-1.1,2013,FALSE
-1.3,2018,FALSE
-0.4,2013,FALSE
0.4,2015,FALSE
0.5,2011,FALSE
2.2,2015,TRUE
-0.4,2011,FALSE
-0.6,2013,FALSE
-0.9,2012,FALSE
-1.4,2012,FALSE
0,2017,FALSE
0.5,2015,FALSE
-1.6,2013,FALSE
-0.1,2011,FALSE
0.5,2009,FALSE
-1.4,2017,FALSE
-0.5,2018,FALSE
-1.5,2013,FALSE
0.3,2009,FALSE
1,2012,TRUE
-0.8,2010,FALSE
0.5,2016,FALSE
0.4,2018,FALSE
-1.1,2017,FALSE
0.1,2018,FALSE
2.1,2014,TRUE
1,2017,TRUE
0.8,2014,FALSE
0.8,2014,FALSE
-0.2,2009,FALSE
2.4,2016,TRUE
0.4,2011,FALSE
0.8,2011,TRUE
-1,2009,FALSE
1.5,2008,TRUE
0.5,2008,FALSE
-0.7,2018,FALSE
-0.8,2014,FALSE
0.3,2017,FALSE
-0.3,2015,FALSE
0.2,2014,FALSE
-0.3,2015,FALSE
-0.2,2018,FALSE
-0.1,2009,FALSE
1.7,2018,TRUE
-0.3,2017,FALSE
0,2010,FALSE
-0.9,2013,FALSE
0.9,2012,FALSE
-0.5,2018,FALSE
0.2,2010,FALSE
0.1,2012,FALSE
5.1,2008,TRUE
0.1,2016,FALSE
0.5,2010,FALSE
0.6,2017,FALSE
1.1,2012,TRUE
0.1,2018,FALSE
-0.5,2016,FALSE
-0.3,2009,FALSE
0.2,2016,FALSE
-0.5,2010,FALSE
-0.8,2008,FALSE
-0.2,2012,FALSE
-0.3,2010,FALSE
2.3,2013,TRUE
-0.7,2012,FALSE
-1.1,2016,FALSE
-1.1,2017,FALSE
1.4,2008,TRUE
-0.5,2016,FALSE
2.3,2013,TRUE
-1.2,2011,FALSE
-0.7,2009,FALSE
0.1,2008,FALSE
0.1,2009,FALSE
-0.1,2018,FALSE
2.4,2013,TRUE
-0.9,2010,FALSE
0.5,2015,FALSE
0.3,2013,FALSE
0,2008,FALSE
-0.3,2013,FALSE
0.1,2012,FALSE
1.6,2018,TRUE
1.9,2010,TRUE
-2.2,2016,FALSE
-0.9,2017,FALSE
-0.5,2009,FALSE
0.5,2009,FALSE
-0.2,2017,FALSE
-0.6,2011,FALSE
0.8,2008,TRUE
2.8,2011,TRUE
2,2016,TRUE
-1.1,2016,FALSE
-0.1,2016,FALSE
2.5,2010,TRUE
-1.7,2011,FALSE
0.3,2016,FALSE
3,2009,TRUE
0.4,2009,FALSE
-0.6,2010,FALSE
-0.5,2013,FALSE
0.5,2012,FALSE
-0.3,2011,FALSE
1.4,2015,TRUE
-1.7,2017,FALSE
-1.3,2017,FALSE
-0.2,2014,FALSE
0.7,2008,TRUE
0.7,2012,FALSE
0,2018,FALSE
