Year,Total Revenue (Millions of $),Total Payroll,,,,,,,,,,,,,,,,,,,,,,,,
1990,1346.1,"$454,422,925",,,,,,,,,,,,,,,,,,,,,,,,
1991,1459.1,"$630,008,474",,,,,,,,,,,,,,,,,,,,,,,,
1992,1583.6,"$783,893,948",,,,,,,,,,,,,,,,,,,,,,,,
1993,1774.5,"$856,648,188",,,,,,,,,,,,,,,,,,,,,,,,
1994,1687,"$884,936,262",,,,,,,,,,,,,,,,,,,,,,,,
1995,1410.5,"$882,082,040",,,,,,,,,,,,,,,,,,,,,,,,
1996,1847.2,"$895,178,844",,,,,,,,,,,,,,,,,,,,,,,,
1997,2215.8,"$1,061,631,360",,,,,,,,,,,,,,,,,,,,,,,,
1998,2663.3,"$1,210,532,333",,,,,,,,,,,,,,,,,,,,,,,,
1999,2827.9,"$1,445,119,433",,,,,,,,,,,,,,,,,,,,,,,,
2000,3177.6,"$1,686,271,795",,,,,,,,,,,,,,,,,,,,,,,,
2001,3583,"$1,962,841,814",,,,,,,,,,,,,,,,,,,,,,,,
2002,3652,"$2,024,680,522",,,,,,,,,,,,,,,,,,,,,,,,
2003,3878,"$2,127,863,461",,,,,,,,,,,,,,,,,,,,,,,,
2004,4269,"$2,071,265,943",,,,,,,,,,,,,,,,,,,,,,,,
2005,4733,"$2,191,886,898",,,,,,,,,,,,,,,,,,,,,,,,
2006,5111,"$2,326,706,685",,,,,,,,,,,,,,,,,,,,,,,,
2007,5489,"$2,476,688,987",,,,,,,,,,,,,,,,,,,,,,,,
2008,5819,"$2,686,433,458",,,,,,,,,,,,,,,,,,,,,,,,
2009,5898,"$2,655,395,194",,,,,,,,,,,,,,,,,,,,,,,,
2010,6137,"$2,730,601,685",,,,,,,,,,,,,,,,,,,,,,,,
2011,6359,"$2,786,161,291",,,,,,,,,,,,,,,,,,,,,,,,
2012,6808,"$2,940,657,192",,,,,,,,,,,,,,,,,,,,,,,,
2013,7089,"$3,187,568,088",,,,,,,,,,,,,,,,,,,,,,,,
2014,7864,"$3,453,960,397",,,,,,,,,,,,,,,,,,,,,,,,
2015,8394,"$3,658,284,542",,,,,,,,,,,,,,,,,,,,,,,,
2016,9027,"$3,937,842,897",,,,,,,,,,,,,,,,,,,,,,,,
2017,9460,"$3,878,284,045",,,,,,,,,,,,,,,,,,,,,,,,
2018,9895,"$4,141,041,635",,,,,,,,,,,,,,,,,,,,,,,,
2019,10374,"$4,007,869,480",,,,,,,,,,,,,,,,,,,,,,,,
