Rk,Year,Tm,Lg,#Matching,,
1,2018,,,168,Lane Adams / Pedro Alvarez / Alec Asher / Carlos Asuaje / John Axford / Jett Bandy / Johnny Barbato / Brandon Barnes / Danny Barnes / Buddy Baumann / Jose Bautista / .....,
2,2017,,,151,Tim Adleman / Andrew Albers / Al Alburquerque / Arismendy Alcantara / Henderson Alvarez III / Alexi Amarista / Nori Aoki / Bronson Arroyo / Cody Asche / Mike Aviles / Erick Aybar / .....,
3,2016,,,150,Dustin Ackley / Robert Andino / Elvis Araujo / Oswaldo Arcia / Julio Borbon / Michael Bourn / Reid Brignac / Enrique Burgos / Sean Burnett / Emmanuel Burriss / Billy Butler / .....,
4,2014,,,147,Bobby Abreu / Tony Abreu / Alfredo Aceves / Mike Adams / Zoilo Almonte / Hector Ambriz / John Baker / Jason Bartlett / Daric Barton / Josh Beckett / Erik Bedard / .....,
5,2015,,,146,David Aardsma / Nathan Adcock / Jeremy Affeldt / J.P. Arencibia / Joaquin Arias / Dylan Axelrod / Burke Badenhop / Jeff Baker / Scott Baker / Collin Balester / Grant Balfour / .....,
6,2013,,,136,Rick Ankiel / Luis Ayala / Jason Bay / Duane Below / Lance Berkman / Yuniesky Betancourt / Wilson Betemit / Travis Blackley / Henry Blanco / Mitchell Boggs / Jeremy Bonderman / .....,
7,2012,,,132,Jeremy Accardo / Manny Acosta / Jonathan Albaladejo / Brandon Allen / Jose Arredondo / Rod Barajas / Miguel Batista / Josh Bell / Brad Bergesen / Jason Berken / Brian Bixler / .....,
8,2010,,,129,Garret Anderson / Garrett Atkins / Brad Ausmus / Willy Aybar / Rocco Baldelli / Brian Bannister / Brian Barden / Brian Bass / Denny Bautista / Ronnie Belliard / Kris Benson / .....,
9,2007,,,128,Antonio Alfonseca / Sandy Alomar / Mike Bacsik / Tony Batista / Mark Bellhorn / Rob Bell / Craig Biggio / Hiram Bocachica / Barry Bonds / Joe Borchard / Dee Brown / .....,
10,2011,,,125,Eliezer Alfonzo / Alfredo Amezaga / Jose Ascanio / Danys Báez / Josh Bard / Justin Berg / Casey Blake / Brandon Boggs / John Bowker / Zach Braddock / Milton Bradley / .....,
11,2009,,,124,Russ Adams / Brian Anderson / Josh Anderson / Marlon Anderson / Greg Aquino / Rich Aurilia / Brandon Backe / Paul Bako / John Bale / Wladimir Balentien / Josh Barfield / .....,
12,2008,,,124,Reggie Abercrombie / Jon Adkins / Chris Aguila / Moises Alou / Chip Ambres / Danny Ardoin / Tony Armas / Cha-Seung Baek / Rick Bauer / Armando Benitez / Gary Bennett / .....,
13,2001,,,124,Jeff Abbott / Kurt Abbott / Harold Baines / Glen Barker / Kimera Bartee / Derek Bell / Dante Bichette / Willie Blair / Tim Bogar / Brian Bohanon / Ricky Bones / .....,
14,2005,,,121,Brent Abernathy / Jose Acevedo / Terry Adams / Chad Allen / Armando Almanza / Wilson Alvarez / Matt Anderson / Manny Aybar / Carlos Baerga / Jeff Bagwell / James Baldwin / .....,
15,2004,,,121,Paul Abbott / Roberto Alomar / Jimmy Anderson / Andy Ashby / Danny Bautista / Rod Beck / Rigo Beltran / Dave Berg / Brandon Berger / Peter Bergeron / Rocky Biddle / .....,
16,2006,,,114,Manny Alexander / Edgardo Alfonzo / Miguel Asencio / Ezequiel Astacio / Pedro Astacio / David Bell / Larry Bigbie / Dewon Brazelton / Adrian Brown / Jeromy Burnitz / Giovanni Carrara / .....,
17,2003,,,106,Juan Acevedo / Steve Avery / Brian Banks / Jay Bell / Marvin Benard / Alan Benes / Pedro Borbon / Mike Bordick / Troy Brohawn / John Burkett / Brent Butler / .....,
18,2000,,,103,Rick Aguilera / Scott Aldred / Gabe Alvarez / Rich Amaral / Jamie Arnold / Justin Baughman / Rich Becker / Stan Belinda / Albert Belle / Sean Bergman / Geronimo Berroa / .....,
