Year,Total Payroll,League Min,Avg Salary,Player Count,Team Count,Top Salary,Highest Payroll,Lowest Payroll
2019,"$4,007,869,480","$555,000","$4,509,524",849,30,"Max Scherzer ($42,142,857)","Boston Red Sox ($222,171,123)","Tampa Bay Rays ($60,444,931)"
2018,"$4,141,041,635","$545,000","$4,095,686",926,30,"Mike Trout ($33,250,000)","Boston Red Sox ($235,649,368)","Oakland Athletics ($68,534,631)"
2017,"$3,878,284,045","$545,000","$4,097,122",878,30,"Clayton Kershaw ($33,000,000)","Los Angeles Dodgers ($187,989,811)","San Diego Padres ($34,574,400)"
2016,"$3,937,842,897","$535,000","$3,966,020",816,30,"Clayton Kershaw ($32,000,000)","Los Angeles Dodgers ($253,639,162)","Milwaukee Brewers ($62,964,319)"
2015,"$3,658,284,542","$507,500","$3,952,252",1331,30,"Clayton Kershaw ($31,000,000)","Los Angeles Dodgers ($230,352,402)","Arizona Diamondbacks ($65,770,333)"
2014,"$3,453,960,397","$500,000","$3,818,923",837,30,"Zack Greinke ($28,000,000)","Los Angeles Dodgers ($235,295,219)","Houston Astros ($44,544,174)"
2013,"$3,187,568,088","$490,000","$3,386,212",812,30,"Alex Rodriguez ($29,000,000)","New York Yankees ($228,995,945)","Houston Astros ($24,328,538)"
2012,"$2,940,657,192","$480,000","$3,213,479",811,30,"Alex Rodriguez ($30,000,000)","New York Yankees ($197,962,289)","San Diego Padres ($55,244,700)"
2011,"$2,786,161,291","$414,000","$3,095,183",1281,30,"Alex Rodriguez ($32,000,000)","New York Yankees ($202,689,028)","Kansas City Royals ($36,126,000)"
2010,"$2,730,601,685","$400,000","$3,014,572",793,30,"Alex Rodriguez ($33,000,000)","New York Yankees ($206,333,389)","Pittsburgh Pirates ($34,943,000)"
2009,"$2,655,395,194","$400,000","$2,996,106",787,30,"Alex Rodriguez ($33,000,000)","New York Yankees ($201,449,189)","Florida Marlins ($36,834,000)"
2008,"$2,686,433,458","$390,000","$2,925,679",814,30,"Alex Rodriguez ($28,000,000)","New York Yankees ($209,081,577)","Florida Marlins ($21,811,500)"
2007,"$2,476,688,987","$380,000","$2,824,751",806,30,"Jason Giambi ($23,428,571)","New York Yankees ($189,259,045)","Tampa Bay Rays ($24,123,500)"
2006,"$2,326,706,685","$327,000","$2,699,292",1239,30,"Alex Rodriguez ($21,680,727)","New York Yankees ($194,663,079)","Florida Marlins ($14,998,500)"
2005,"$2,191,886,898","$316,000","$2,476,589",1235,30,"Alex Rodriguez ($26,000,000)","New York Yankees ($208,306,817)","Tampa Bay Rays ($29,679,067)"
2004,"$2,071,265,943","$300,000","$2,313,535",1243,30,"Manny Ramirez ($22,500,000)","New York Yankees ($184,193,950)","Milwaukee Brewers ($27,528,500)"
2003,"$2,127,863,461","$300,000","$2,372,189",1223,30,"Alex Rodriguez ($22,000,000)","New York Yankees ($152,749,814)","Tampa Bay Rays ($19,630,000)"
2002,"$2,024,680,522","$200,000","$2,295,649",1217,30,"Alex Rodriguez ($22,000,000)","New York Yankees ($125,928,583)","Tampa Bay Rays ($34,380,000)"
2001,"$1,962,841,814","$200,000","$2,138,896",1216,30,"Alex Rodriguez ($22,000,000)","New York Yankees ($112,287,143)","Minnesota Twins ($24,130,000)"
2000,"$1,686,271,795","$200,000","$1,895,630",1226,30,"Kevin Brown ($15,714,286)","New York Yankees ($92,938,260)","Minnesota Twins ($15,654,500)"
1999,"$1,445,119,433","$200,000","$1,611,166",1205,30,"Albert Belle ($11,949,794)","New York Yankees ($88,130,709)","Florida Marlins ($15,150,000)"
1998,"$1,210,532,333","$170,000","$1,398,831",1185,30,"Gary Sheffield ($14,936,667)","Baltimore Orioles ($70,408,134)","Montreal Expos ($9,202,000)"
1997,"$1,061,631,360","$150,000","$1,336,609",1120,28,"Albert Belle ($10,000,000)","New York Yankees ($59,148,877)","Pittsburgh Pirates ($9,071,666)"
1996,"$895,178,844","$122,667","$1,119,981",1138,28,"Cecil Fielder ($9,237,500)","New York Yankees ($52,189,370)","Montreal Expos ($15,410,500)"
1995,"$882,082,040","$109,000","$1,110,766",1131,28,"Cecil Fielder ($9,237,500)","Toronto Blue Jays ($49,791,500)","Montreal Expos ($12,031,000)"
1994,"$884,936,262","$109,000","$1,168,263",990,28,"Bobby Bonilla ($6,300,000)","New York Yankees ($44,785,334)","San Diego Padres ($13,529,333)"
1993,"$856,648,188","$109,000","$1,076,089",1101,28,"Bobby Bonilla ($6,200,000)","Toronto Blue Jays ($45,747,666)","Colorado Rockies ($8,829,000)"
1992,"$783,893,948","$109,000","$1,028,667",1003,26,"Bobby Bonilla ($6,100,000)","New York Mets ($44,352,002)","Cleveland Indians ($8,236,166)"
1991,"$630,008,474","$100,000","$851,492",1031,26,"Darryl Strawberry ($3,800,000)","Oakland Athletics ($33,632,500)","Houston Astros ($11,546,000)"
1990,"$454,422,925","$100,000","$597,537",1028,26,"Robin Yount ($3,200,000)","Kansas City Royals ($23,873,745)","Chicago White Sox ($9,496,238)"
1989,"$350,909,782","$68,000","$497,254",986,26,"Orel Hershiser ($2,766,667)","Los Angeles Dodgers ($21,584,161)","Chicago White Sox ($7,595,561)"
1988,"$294,880,320","$62,500","$438,729",971,26,"Ozzie Smith ($2,340,000)","New York Yankees ($18,909,152)","Chicago White Sox ($5,906,952)"
