"coef","model","threshold"
0.000782593023214809,"year",-2
-0.191393335781996,"labor",-2
0.000792328794385239,"year",-1.95
-0.208934892374696,"labor",-1.95
0.000245653602569393,"year",-1.9
-0.102530875664327,"labor",-1.9
0.000116654634561146,"year",-1.85
-0.098396253955026,"labor",-1.85
0.000167379168406504,"year",-1.8
-0.118982335351558,"labor",-1.8
0.00110615985309417,"year",-1.75
-0.232409672644402,"labor",-1.75
0.000886917358495123,"year",-1.7
-0.236639976585143,"labor",-1.7
3.51342680237996e-05,"year",-1.65
-0.0884528276268612,"labor",-1.65
0.00066319493284918,"year",-1.6
-0.287989801807825,"labor",-1.6
0.000193011368841279,"year",-1.55
-0.105910096561629,"labor",-1.55
0.000765272534776855,"year",-1.5
-0.287355860828506,"labor",-1.5
0.00195298768947351,"year",-1.45
-0.568619266898019,"labor",-1.45
0.000191451105706473,"year",-1.4
-0.259957538181376,"labor",-1.4
0.000361372931060944,"year",-1.35
-0.258532140092825,"labor",-1.35
0.00232382057786257,"year",-1.3
-0.523596063188771,"labor",-1.3
0.00170742471435294,"year",-1.25
-0.377291561629513,"labor",-1.25
-0.000213751071408586,"year",-1.2
0.0674330885398134,"labor",-1.2
-0.00018516228122913,"year",-1.15
-0.000777541255491178,"labor",-1.15
8.6964972520166e-05,"year",-1.1
0.0694440478427685,"labor",-1.1
0.000999180359547108,"year",-1.05
-0.352689847311764,"labor",-1.05
0.00123455673484298,"year",-1
-0.392830809870117,"labor",-1
0.0013423632429874,"year",-0.95
-0.524641795401454,"labor",-0.95
0.00355040075608825,"year",-0.9
-0.640844187897684,"labor",-0.9
0.00227579242482971,"year",-0.85
-0.549315221960143,"labor",-0.85
0.0037598246597445,"year",-0.8
-0.731015683125397,"labor",-0.8
0.00397381793927977,"year",-0.75
-0.970907026436089,"labor",-0.75
0.00715074812047643,"year",-0.7
-1.39032703365846,"labor",-0.7
0.00443569249181014,"year",-0.65
-0.905974214091515,"labor",-0.65
0.0019715668832782,"year",-0.6
-0.283186690129809,"labor",-0.6
0.00254525832806197,"year",-0.55
-0.160031969640931,"labor",-0.55
0.00352826711278253,"year",-0.5
-0.513644398480452,"labor",-0.5
-4.4548247556736e-05,"year",-0.45
0.22580559850758,"labor",-0.45
-0.000495035066845795,"year",-0.4
0.23523376451307,"labor",-0.4
-0.00147168248996831,"year",-0.35
0.256994586153413,"labor",-0.35
-0.00178306662326901,"year",-0.3
0.213314527489814,"labor",-0.3
0.00062574893650443,"year",-0.25
-0.0976750970457485,"labor",-0.25
-0.00100173696161377,"year",-0.2
-0.128396391053454,"labor",-0.2
-0.000347654765135856,"year",-0.15
-0.148430041370129,"labor",-0.15
0.00161279127888563,"year",-0.0999999999999999
-0.600733163578902,"labor",-0.0999999999999999
0.000658844490669828,"year",-0.0499999999999998
-0.428425291038442,"labor",-0.0499999999999998
0.000772120256372377,"year",0
-0.531264833866884,"labor",0
0.000922653193090952,"year",0.0500000000000003
-0.571451373793323,"labor",0.0500000000000003
0.00104757905477689,"year",0.1
-0.547983259491898,"labor",0.1
0.00163523918831617,"year",0.15
-0.670244089940985,"labor",0.15
0.00164709877085886,"year",0.2
-0.599629573841855,"labor",0.2
0.000626493654144092,"year",0.25
-0.455539608366327,"labor",0.25
0.00157703640226071,"year",0.3
-0.53779969045998,"labor",0.3
0.00213256862946261,"year",0.35
-0.638433740934984,"labor",0.35
0.00103573972193495,"year",0.4
-0.490044295454954,"labor",0.4
0.0009067407539267,"year",0.45
-0.485909673745651,"labor",0.45
0.00187880772065014,"year",0.5
-0.613346692478544,"labor",0.5
0.00187880772065014,"year",0.55
-0.613346692478544,"labor",0.55
0.00226671220886435,"year",0.6
-0.662911025811505,"labor",0.6
0.00222137391544421,"year",0.65
-0.682572806332005,"labor",0.65
0.00222137391544421,"year",0.7
-0.682572806332005,"labor",0.7
0.00195749820386926,"year",0.75
-0.581613671831951,"labor",0.75
0.00147083762362986,"year",0.8
-0.426996373005058,"labor",0.8
0.00096498096635855,"year",0.85
-0.283272873418329,"labor",0.85
0.00096498096635855,"year",0.9
-0.283272873418329,"labor",0.9
0.00028224107723402,"year",0.95
-0.0538976691202564,"labor",0.95
1.26332340967668e-05,"year",1
0.0113345229065344,"labor",1
-0.000216529638482605,"year",1.05
0.0268564004190023,"labor",1.05
-0.000216529638482605,"year",1.1
0.0268564004190023,"labor",1.1
