"Year","cbns","threshold","retirees","prop","labShare"
1969,31,-2,32,0.96875,NA
1970,34,-2,35,0.971428571428571,NA
1971,42,-2,44,0.954545454545455,NA
1972,49,-2,49,1,NA
1973,41,-2,41,1,NA
1974,44,-2,45,0.977777777777778,NA
1975,35,-2,36,0.972222222222222,NA
1976,33,-2,33,1,NA
1977,55,-2,55,1,NA
1978,33,-2,35,0.942857142857143,NA
1979,40,-2,42,0.952380952380952,NA
1980,45,-2,45,1,NA
1981,36,-2,37,0.972972972972973,NA
1982,37,-2,38,0.973684210526316,NA
1983,35,-2,35,1,NA
1984,41,-2,41,1,NA
1985,55,-2,55,1,NA
1986,47,-2,47,1,NA
1987,34,-2,36,0.944444444444444,NA
1988,36,-2,36,1,NA
1989,46,-2,46,1,0.33758481910705
1990,49,-2,51,0.96078431372549,0.431778818449729
1991,43,-2,43,1,0.495007544834554
1992,45,-2,45,1,0.482754684699915
1993,44,-2,44,1,0.524562099585062
1994,36,-2,38,0.947368421052632,0.625368337468983
1995,47,-2,47,1,0.484613925941966
1996,36,-2,38,0.947368421052632,0.479118765231519
1997,35,-2,36,0.972222222222222,0.45452346074419
1998,50,-2,52,0.961538461538462,0.511022112875278
1999,47,-2,49,0.959183673469388,0.530674658547331
2000,52,-2,52,1,0.54782076862964
2001,66,-2,67,0.985074626865672,0.554403209748083
2002,45,-2,46,0.978260869565217,0.548701253481176
2003,43,-2,44,0.977272727272727,0.485187618411806
2004,48,-2,49,0.979591836734694,0.463107309951405
2005,42,-2,44,0.954545454545455,0.455235117393856
2006,49,-2,50,0.98,0.451209507560576
2007,62,-2,65,0.953846153846154,0.46166582883657
2008,53,-2,53,1,0.450219598847067
2009,47,-2,48,0.979166666666667,0.444940799250448
2010,49,-2,51,0.96078431372549,0.438144565340462
2011,55,-2,58,0.948275862068966,0.431941420681551
2012,53,-2,56,0.946428571428571,0.449649892509522
2013,54,-2,57,0.947368421052632,0.439211647634791
2014,56,-2,57,0.982456140350877,0.435821365499166
2015,57,-2,58,0.982758620689655,0.43622941143237
2016,59,-2,60,0.983333333333333,0.409966600951374
2017,69,-2,69,1,0.418498396664982
2018,61,-2,62,0.983870967741935,0.386337910160015
1969,31,-1.95,32,0.96875,NA
1970,34,-1.95,35,0.971428571428571,NA
1971,41,-1.95,44,0.931818181818182,NA
1972,49,-1.95,49,1,NA
1973,41,-1.95,41,1,NA
1974,44,-1.95,45,0.977777777777778,NA
1975,35,-1.95,36,0.972222222222222,NA
1976,33,-1.95,33,1,NA
1977,55,-1.95,55,1,NA
1978,33,-1.95,35,0.942857142857143,NA
1979,40,-1.95,42,0.952380952380952,NA
1980,45,-1.95,45,1,NA
1981,35,-1.95,37,0.945945945945946,NA
1982,37,-1.95,38,0.973684210526316,NA
1983,35,-1.95,35,1,NA
1984,41,-1.95,41,1,NA
1985,55,-1.95,55,1,NA
1986,47,-1.95,47,1,NA
1987,34,-1.95,36,0.944444444444444,NA
1988,36,-1.95,36,1,NA
1989,45,-1.95,46,0.978260869565217,0.33758481910705
1990,49,-1.95,51,0.96078431372549,0.431778818449729
1991,43,-1.95,43,1,0.495007544834554
1992,45,-1.95,45,1,0.482754684699915
1993,43,-1.95,44,0.977272727272727,0.524562099585062
1994,35,-1.95,38,0.921052631578947,0.625368337468983
1995,47,-1.95,47,1,0.484613925941966
1996,36,-1.95,38,0.947368421052632,0.479118765231519
1997,35,-1.95,36,0.972222222222222,0.45452346074419
1998,50,-1.95,52,0.961538461538462,0.511022112875278
1999,47,-1.95,49,0.959183673469388,0.530674658547331
2000,51,-1.95,52,0.980769230769231,0.54782076862964
2001,66,-1.95,67,0.985074626865672,0.554403209748083
2002,45,-1.95,46,0.978260869565217,0.548701253481176
2003,43,-1.95,44,0.977272727272727,0.485187618411806
2004,48,-1.95,49,0.979591836734694,0.463107309951405
2005,42,-1.95,44,0.954545454545455,0.455235117393856
2006,49,-1.95,50,0.98,0.451209507560576
2007,62,-1.95,65,0.953846153846154,0.46166582883657
2008,52,-1.95,53,0.981132075471698,0.450219598847067
2009,47,-1.95,48,0.979166666666667,0.444940799250448
2010,49,-1.95,51,0.96078431372549,0.438144565340462
2011,55,-1.95,58,0.948275862068966,0.431941420681551
2012,53,-1.95,56,0.946428571428571,0.449649892509522
2013,53,-1.95,57,0.929824561403509,0.439211647634791
2014,56,-1.95,57,0.982456140350877,0.435821365499166
2015,57,-1.95,58,0.982758620689655,0.43622941143237
2016,59,-1.95,60,0.983333333333333,0.409966600951374
2017,69,-1.95,69,1,0.418498396664982
2018,61,-1.95,62,0.983870967741935,0.386337910160015
1969,31,-1.9,32,0.96875,NA
1970,34,-1.9,35,0.971428571428571,NA
1971,41,-1.9,44,0.931818181818182,NA
1972,49,-1.9,49,1,NA
1973,41,-1.9,41,1,NA
1974,44,-1.9,45,0.977777777777778,NA
1975,35,-1.9,36,0.972222222222222,NA
1976,33,-1.9,33,1,NA
1977,55,-1.9,55,1,NA
1978,33,-1.9,35,0.942857142857143,NA
1979,40,-1.9,42,0.952380952380952,NA
1980,45,-1.9,45,1,NA
1981,35,-1.9,37,0.945945945945946,NA
1982,36,-1.9,38,0.947368421052632,NA
1983,35,-1.9,35,1,NA
1984,40,-1.9,41,0.975609756097561,NA
1985,55,-1.9,55,1,NA
1986,47,-1.9,47,1,NA
1987,34,-1.9,36,0.944444444444444,NA
1988,36,-1.9,36,1,NA
1989,45,-1.9,46,0.978260869565217,0.33758481910705
1990,49,-1.9,51,0.96078431372549,0.431778818449729
1991,43,-1.9,43,1,0.495007544834554
1992,45,-1.9,45,1,0.482754684699915
1993,43,-1.9,44,0.977272727272727,0.524562099585062
1994,35,-1.9,38,0.921052631578947,0.625368337468983
1995,46,-1.9,47,0.978723404255319,0.484613925941966
1996,36,-1.9,38,0.947368421052632,0.479118765231519
1997,35,-1.9,36,0.972222222222222,0.45452346074419
1998,50,-1.9,52,0.961538461538462,0.511022112875278
1999,47,-1.9,49,0.959183673469388,0.530674658547331
2000,51,-1.9,52,0.980769230769231,0.54782076862964
2001,66,-1.9,67,0.985074626865672,0.554403209748083
2002,44,-1.9,46,0.956521739130435,0.548701253481176
2003,43,-1.9,44,0.977272727272727,0.485187618411806
2004,48,-1.9,49,0.979591836734694,0.463107309951405
2005,42,-1.9,44,0.954545454545455,0.455235117393856
2006,49,-1.9,50,0.98,0.451209507560576
2007,62,-1.9,65,0.953846153846154,0.46166582883657
2008,52,-1.9,53,0.981132075471698,0.450219598847067
2009,47,-1.9,48,0.979166666666667,0.444940799250448
2010,49,-1.9,51,0.96078431372549,0.438144565340462
2011,55,-1.9,58,0.948275862068966,0.431941420681551
2012,53,-1.9,56,0.946428571428571,0.449649892509522
2013,53,-1.9,57,0.929824561403509,0.439211647634791
2014,56,-1.9,57,0.982456140350877,0.435821365499166
2015,57,-1.9,58,0.982758620689655,0.43622941143237
2016,58,-1.9,60,0.966666666666667,0.409966600951374
2017,68,-1.9,69,0.985507246376812,0.418498396664982
2018,61,-1.9,62,0.983870967741935,0.386337910160015
1969,31,-1.85,32,0.96875,NA
1970,33,-1.85,35,0.942857142857143,NA
1971,41,-1.85,44,0.931818181818182,NA
1972,49,-1.85,49,1,NA
1973,41,-1.85,41,1,NA
1974,44,-1.85,45,0.977777777777778,NA
1975,35,-1.85,36,0.972222222222222,NA
1976,33,-1.85,33,1,NA
1977,53,-1.85,55,0.963636363636364,NA
1978,33,-1.85,35,0.942857142857143,NA
1979,39,-1.85,42,0.928571428571429,NA
1980,45,-1.85,45,1,NA
1981,35,-1.85,37,0.945945945945946,NA
1982,36,-1.85,38,0.947368421052632,NA
1983,35,-1.85,35,1,NA
1984,40,-1.85,41,0.975609756097561,NA
1985,55,-1.85,55,1,NA
1986,46,-1.85,47,0.978723404255319,NA
1987,33,-1.85,36,0.916666666666667,NA
1988,36,-1.85,36,1,NA
1989,44,-1.85,46,0.956521739130435,0.33758481910705
1990,49,-1.85,51,0.96078431372549,0.431778818449729
1991,43,-1.85,43,1,0.495007544834554
1992,45,-1.85,45,1,0.482754684699915
1993,43,-1.85,44,0.977272727272727,0.524562099585062
1994,35,-1.85,38,0.921052631578947,0.625368337468983
1995,46,-1.85,47,0.978723404255319,0.484613925941966
1996,36,-1.85,38,0.947368421052632,0.479118765231519
1997,35,-1.85,36,0.972222222222222,0.45452346074419
1998,50,-1.85,52,0.961538461538462,0.511022112875278
1999,47,-1.85,49,0.959183673469388,0.530674658547331
2000,51,-1.85,52,0.980769230769231,0.54782076862964
2001,65,-1.85,67,0.970149253731343,0.554403209748083
2002,44,-1.85,46,0.956521739130435,0.548701253481176
2003,43,-1.85,44,0.977272727272727,0.485187618411806
2004,48,-1.85,49,0.979591836734694,0.463107309951405
2005,42,-1.85,44,0.954545454545455,0.455235117393856
2006,49,-1.85,50,0.98,0.451209507560576
2007,62,-1.85,65,0.953846153846154,0.46166582883657
2008,52,-1.85,53,0.981132075471698,0.450219598847067
2009,47,-1.85,48,0.979166666666667,0.444940799250448
2010,49,-1.85,51,0.96078431372549,0.438144565340462
2011,55,-1.85,58,0.948275862068966,0.431941420681551
2012,53,-1.85,56,0.946428571428571,0.449649892509522
2013,52,-1.85,57,0.912280701754386,0.439211647634791
2014,56,-1.85,57,0.982456140350877,0.435821365499166
2015,57,-1.85,58,0.982758620689655,0.43622941143237
2016,58,-1.85,60,0.966666666666667,0.409966600951374
2017,68,-1.85,69,0.985507246376812,0.418498396664982
2018,61,-1.85,62,0.983870967741935,0.386337910160015
1969,31,-1.8,32,0.96875,NA
1970,33,-1.8,35,0.942857142857143,NA
1971,41,-1.8,44,0.931818181818182,NA
1972,48,-1.8,49,0.979591836734694,NA
1973,40,-1.8,41,0.975609756097561,NA
1974,44,-1.8,45,0.977777777777778,NA
1975,35,-1.8,36,0.972222222222222,NA
1976,33,-1.8,33,1,NA
1977,53,-1.8,55,0.963636363636364,NA
1978,33,-1.8,35,0.942857142857143,NA
1979,39,-1.8,42,0.928571428571429,NA
1980,43,-1.8,45,0.955555555555556,NA
1981,34,-1.8,37,0.918918918918919,NA
1982,35,-1.8,38,0.921052631578947,NA
1983,35,-1.8,35,1,NA
1984,40,-1.8,41,0.975609756097561,NA
1985,53,-1.8,55,0.963636363636364,NA
1986,46,-1.8,47,0.978723404255319,NA
1987,33,-1.8,36,0.916666666666667,NA
1988,36,-1.8,36,1,NA
1989,44,-1.8,46,0.956521739130435,0.33758481910705
1990,49,-1.8,51,0.96078431372549,0.431778818449729
1991,43,-1.8,43,1,0.495007544834554
1992,45,-1.8,45,1,0.482754684699915
1993,43,-1.8,44,0.977272727272727,0.524562099585062
1994,35,-1.8,38,0.921052631578947,0.625368337468983
1995,46,-1.8,47,0.978723404255319,0.484613925941966
1996,36,-1.8,38,0.947368421052632,0.479118765231519
1997,35,-1.8,36,0.972222222222222,0.45452346074419
1998,50,-1.8,52,0.961538461538462,0.511022112875278
1999,47,-1.8,49,0.959183673469388,0.530674658547331
2000,51,-1.8,52,0.980769230769231,0.54782076862964
2001,65,-1.8,67,0.970149253731343,0.554403209748083
2002,44,-1.8,46,0.956521739130435,0.548701253481176
2003,43,-1.8,44,0.977272727272727,0.485187618411806
2004,47,-1.8,49,0.959183673469388,0.463107309951405
2005,42,-1.8,44,0.954545454545455,0.455235117393856
2006,49,-1.8,50,0.98,0.451209507560576
2007,61,-1.8,65,0.938461538461538,0.46166582883657
2008,52,-1.8,53,0.981132075471698,0.450219598847067
2009,47,-1.8,48,0.979166666666667,0.444940799250448
2010,49,-1.8,51,0.96078431372549,0.438144565340462
2011,55,-1.8,58,0.948275862068966,0.431941420681551
2012,53,-1.8,56,0.946428571428571,0.449649892509522
2013,52,-1.8,57,0.912280701754386,0.439211647634791
2014,56,-1.8,57,0.982456140350877,0.435821365499166
2015,56,-1.8,58,0.96551724137931,0.43622941143237
2016,57,-1.8,60,0.95,0.409966600951374
2017,68,-1.8,69,0.985507246376812,0.418498396664982
2018,61,-1.8,62,0.983870967741935,0.386337910160015
1969,30,-1.75,32,0.9375,NA
1970,33,-1.75,35,0.942857142857143,NA
1971,40,-1.75,44,0.909090909090909,NA
1972,48,-1.75,49,0.979591836734694,NA
1973,40,-1.75,41,0.975609756097561,NA
1974,44,-1.75,45,0.977777777777778,NA
1975,35,-1.75,36,0.972222222222222,NA
1976,33,-1.75,33,1,NA
1977,53,-1.75,55,0.963636363636364,NA
1978,33,-1.75,35,0.942857142857143,NA
1979,38,-1.75,42,0.904761904761905,NA
1980,43,-1.75,45,0.955555555555556,NA
1981,34,-1.75,37,0.918918918918919,NA
1982,34,-1.75,38,0.894736842105263,NA
1983,35,-1.75,35,1,NA
1984,40,-1.75,41,0.975609756097561,NA
1985,53,-1.75,55,0.963636363636364,NA
1986,46,-1.75,47,0.978723404255319,NA
1987,33,-1.75,36,0.916666666666667,NA
1988,36,-1.75,36,1,NA
1989,44,-1.75,46,0.956521739130435,0.33758481910705
1990,49,-1.75,51,0.96078431372549,0.431778818449729
1991,43,-1.75,43,1,0.495007544834554
1992,45,-1.75,45,1,0.482754684699915
1993,43,-1.75,44,0.977272727272727,0.524562099585062
1994,34,-1.75,38,0.894736842105263,0.625368337468983
1995,45,-1.75,47,0.957446808510638,0.484613925941966
1996,36,-1.75,38,0.947368421052632,0.479118765231519
1997,35,-1.75,36,0.972222222222222,0.45452346074419
1998,50,-1.75,52,0.961538461538462,0.511022112875278
1999,47,-1.75,49,0.959183673469388,0.530674658547331
2000,51,-1.75,52,0.980769230769231,0.54782076862964
2001,65,-1.75,67,0.970149253731343,0.554403209748083
2002,44,-1.75,46,0.956521739130435,0.548701253481176
2003,43,-1.75,44,0.977272727272727,0.485187618411806
2004,45,-1.75,49,0.918367346938776,0.463107309951405
2005,42,-1.75,44,0.954545454545455,0.455235117393856
2006,49,-1.75,50,0.98,0.451209507560576
2007,61,-1.75,65,0.938461538461538,0.46166582883657
2008,52,-1.75,53,0.981132075471698,0.450219598847067
2009,45,-1.75,48,0.9375,0.444940799250448
2010,49,-1.75,51,0.96078431372549,0.438144565340462
2011,54,-1.75,58,0.931034482758621,0.431941420681551
2012,53,-1.75,56,0.946428571428571,0.449649892509522
2013,52,-1.75,57,0.912280701754386,0.439211647634791
2014,56,-1.75,57,0.982456140350877,0.435821365499166
2015,56,-1.75,58,0.96551724137931,0.43622941143237
2016,57,-1.75,60,0.95,0.409966600951374
2017,68,-1.75,69,0.985507246376812,0.418498396664982
2018,61,-1.75,62,0.983870967741935,0.386337910160015
1969,30,-1.7,32,0.9375,NA
1970,32,-1.7,35,0.914285714285714,NA
1971,40,-1.7,44,0.909090909090909,NA
1972,48,-1.7,49,0.979591836734694,NA
1973,40,-1.7,41,0.975609756097561,NA
1974,43,-1.7,45,0.955555555555556,NA
1975,34,-1.7,36,0.944444444444444,NA
1976,33,-1.7,33,1,NA
1977,53,-1.7,55,0.963636363636364,NA
1978,32,-1.7,35,0.914285714285714,NA
1979,38,-1.7,42,0.904761904761905,NA
1980,43,-1.7,45,0.955555555555556,NA
1981,33,-1.7,37,0.891891891891892,NA
1982,34,-1.7,38,0.894736842105263,NA
1983,35,-1.7,35,1,NA
1984,40,-1.7,41,0.975609756097561,NA
1985,53,-1.7,55,0.963636363636364,NA
1986,45,-1.7,47,0.957446808510638,NA
1987,33,-1.7,36,0.916666666666667,NA
1988,36,-1.7,36,1,NA
1989,42,-1.7,46,0.91304347826087,0.33758481910705
1990,49,-1.7,51,0.96078431372549,0.431778818449729
1991,43,-1.7,43,1,0.495007544834554
1992,45,-1.7,45,1,0.482754684699915
1993,43,-1.7,44,0.977272727272727,0.524562099585062
1994,34,-1.7,38,0.894736842105263,0.625368337468983
1995,45,-1.7,47,0.957446808510638,0.484613925941966
1996,36,-1.7,38,0.947368421052632,0.479118765231519
1997,35,-1.7,36,0.972222222222222,0.45452346074419
1998,50,-1.7,52,0.961538461538462,0.511022112875278
1999,47,-1.7,49,0.959183673469388,0.530674658547331
2000,51,-1.7,52,0.980769230769231,0.54782076862964
2001,65,-1.7,67,0.970149253731343,0.554403209748083
2002,44,-1.7,46,0.956521739130435,0.548701253481176
2003,43,-1.7,44,0.977272727272727,0.485187618411806
2004,44,-1.7,49,0.897959183673469,0.463107309951405
2005,42,-1.7,44,0.954545454545455,0.455235117393856
2006,49,-1.7,50,0.98,0.451209507560576
2007,61,-1.7,65,0.938461538461538,0.46166582883657
2008,52,-1.7,53,0.981132075471698,0.450219598847067
2009,45,-1.7,48,0.9375,0.444940799250448
2010,49,-1.7,51,0.96078431372549,0.438144565340462
2011,53,-1.7,58,0.913793103448276,0.431941420681551
2012,52,-1.7,56,0.928571428571429,0.449649892509522
2013,52,-1.7,57,0.912280701754386,0.439211647634791
2014,56,-1.7,57,0.982456140350877,0.435821365499166
2015,55,-1.7,58,0.948275862068966,0.43622941143237
2016,57,-1.7,60,0.95,0.409966600951374
2017,67,-1.7,69,0.971014492753623,0.418498396664982
2018,61,-1.7,62,0.983870967741935,0.386337910160015
1969,30,-1.65,32,0.9375,NA
1970,32,-1.65,35,0.914285714285714,NA
1971,40,-1.65,44,0.909090909090909,NA
1972,46,-1.65,49,0.938775510204082,NA
1973,40,-1.65,41,0.975609756097561,NA
1974,42,-1.65,45,0.933333333333333,NA
1975,34,-1.65,36,0.944444444444444,NA
1976,33,-1.65,33,1,NA
1977,52,-1.65,55,0.945454545454545,NA
1978,32,-1.65,35,0.914285714285714,NA
1979,37,-1.65,42,0.880952380952381,NA
1980,43,-1.65,45,0.955555555555556,NA
1981,33,-1.65,37,0.891891891891892,NA
1982,34,-1.65,38,0.894736842105263,NA
1983,34,-1.65,35,0.971428571428571,NA
1984,39,-1.65,41,0.951219512195122,NA
1985,53,-1.65,55,0.963636363636364,NA
1986,45,-1.65,47,0.957446808510638,NA
1987,33,-1.65,36,0.916666666666667,NA
1988,36,-1.65,36,1,NA
1989,42,-1.65,46,0.91304347826087,0.33758481910705
1990,49,-1.65,51,0.96078431372549,0.431778818449729
1991,43,-1.65,43,1,0.495007544834554
1992,45,-1.65,45,1,0.482754684699915
1993,43,-1.65,44,0.977272727272727,0.524562099585062
1994,33,-1.65,38,0.868421052631579,0.625368337468983
1995,45,-1.65,47,0.957446808510638,0.484613925941966
1996,35,-1.65,38,0.921052631578947,0.479118765231519
1997,35,-1.65,36,0.972222222222222,0.45452346074419
1998,50,-1.65,52,0.961538461538462,0.511022112875278
1999,47,-1.65,49,0.959183673469388,0.530674658547331
2000,51,-1.65,52,0.980769230769231,0.54782076862964
2001,65,-1.65,67,0.970149253731343,0.554403209748083
2002,44,-1.65,46,0.956521739130435,0.548701253481176
2003,42,-1.65,44,0.954545454545455,0.485187618411806
2004,44,-1.65,49,0.897959183673469,0.463107309951405
2005,42,-1.65,44,0.954545454545455,0.455235117393856
2006,49,-1.65,50,0.98,0.451209507560576
2007,61,-1.65,65,0.938461538461538,0.46166582883657
2008,52,-1.65,53,0.981132075471698,0.450219598847067
2009,44,-1.65,48,0.916666666666667,0.444940799250448
2010,49,-1.65,51,0.96078431372549,0.438144565340462
2011,53,-1.65,58,0.913793103448276,0.431941420681551
2012,52,-1.65,56,0.928571428571429,0.449649892509522
2013,52,-1.65,57,0.912280701754386,0.439211647634791
2014,56,-1.65,57,0.982456140350877,0.435821365499166
2015,53,-1.65,58,0.913793103448276,0.43622941143237
2016,57,-1.65,60,0.95,0.409966600951374
2017,66,-1.65,69,0.956521739130435,0.418498396664982
2018,59,-1.65,62,0.951612903225806,0.386337910160015
1969,30,-1.6,32,0.9375,NA
1970,32,-1.6,35,0.914285714285714,NA
1971,40,-1.6,44,0.909090909090909,NA
1972,46,-1.6,49,0.938775510204082,NA
1973,39,-1.6,41,0.951219512195122,NA
1974,42,-1.6,45,0.933333333333333,NA
1975,34,-1.6,36,0.944444444444444,NA
1976,33,-1.6,33,1,NA
1977,51,-1.6,55,0.927272727272727,NA
1978,32,-1.6,35,0.914285714285714,NA
1979,37,-1.6,42,0.880952380952381,NA
1980,42,-1.6,45,0.933333333333333,NA
1981,33,-1.6,37,0.891891891891892,NA
1982,34,-1.6,38,0.894736842105263,NA
1983,34,-1.6,35,0.971428571428571,NA
1984,39,-1.6,41,0.951219512195122,NA
1985,52,-1.6,55,0.945454545454545,NA
1986,44,-1.6,47,0.936170212765957,NA
1987,33,-1.6,36,0.916666666666667,NA
1988,36,-1.6,36,1,NA
1989,42,-1.6,46,0.91304347826087,0.33758481910705
1990,49,-1.6,51,0.96078431372549,0.431778818449729
1991,42,-1.6,43,0.976744186046512,0.495007544834554
1992,45,-1.6,45,1,0.482754684699915
1993,43,-1.6,44,0.977272727272727,0.524562099585062
1994,33,-1.6,38,0.868421052631579,0.625368337468983
1995,45,-1.6,47,0.957446808510638,0.484613925941966
1996,35,-1.6,38,0.921052631578947,0.479118765231519
1997,35,-1.6,36,0.972222222222222,0.45452346074419
1998,50,-1.6,52,0.961538461538462,0.511022112875278
1999,47,-1.6,49,0.959183673469388,0.530674658547331
2000,49,-1.6,52,0.942307692307692,0.54782076862964
2001,63,-1.6,67,0.940298507462687,0.554403209748083
2002,43,-1.6,46,0.934782608695652,0.548701253481176
2003,41,-1.6,44,0.931818181818182,0.485187618411806
2004,44,-1.6,49,0.897959183673469,0.463107309951405
2005,42,-1.6,44,0.954545454545455,0.455235117393856
2006,49,-1.6,50,0.98,0.451209507560576
2007,58,-1.6,65,0.892307692307692,0.46166582883657
2008,52,-1.6,53,0.981132075471698,0.450219598847067
2009,44,-1.6,48,0.916666666666667,0.444940799250448
2010,49,-1.6,51,0.96078431372549,0.438144565340462
2011,53,-1.6,58,0.913793103448276,0.431941420681551
2012,51,-1.6,56,0.910714285714286,0.449649892509522
2013,52,-1.6,57,0.912280701754386,0.439211647634791
2014,56,-1.6,57,0.982456140350877,0.435821365499166
2015,53,-1.6,58,0.913793103448276,0.43622941143237
2016,56,-1.6,60,0.933333333333333,0.409966600951374
2017,66,-1.6,69,0.956521739130435,0.418498396664982
