"Year","cbns","threshold","retirees","prop"
1969,30,-1.5,32,0.9375
1970,32,-1.5,35,0.914285714285714
1971,37,-1.5,44,0.840909090909091
1972,45,-1.5,49,0.918367346938776
1973,39,-1.5,41,0.951219512195122
1974,42,-1.5,45,0.933333333333333
1975,33,-1.5,36,0.916666666666667
1976,32,-1.5,33,0.96969696969697
1977,48,-1.5,55,0.872727272727273
1978,32,-1.5,35,0.914285714285714
1979,37,-1.5,42,0.880952380952381
1980,40,-1.5,45,0.888888888888889
1981,32,-1.5,37,0.864864864864865
1982,33,-1.5,38,0.868421052631579
1983,33,-1.5,35,0.942857142857143
1984,38,-1.5,41,0.926829268292683
1985,51,-1.5,55,0.927272727272727
1986,43,-1.5,47,0.914893617021277
1987,33,-1.5,36,0.916666666666667
1988,35,-1.5,36,0.972222222222222
1989,42,-1.5,46,0.91304347826087
1990,49,-1.5,51,0.96078431372549
1991,41,-1.5,43,0.953488372093023
1992,44,-1.5,45,0.977777777777778
1993,42,-1.5,44,0.954545454545455
1994,30,-1.5,38,0.789473684210526
1995,45,-1.5,47,0.957446808510638
1996,35,-1.5,38,0.921052631578947
1997,35,-1.5,36,0.972222222222222
1998,50,-1.5,52,0.961538461538462
1999,47,-1.5,49,0.959183673469388
2000,47,-1.5,52,0.903846153846154
2001,62,-1.5,67,0.925373134328358
2002,42,-1.5,46,0.91304347826087
2003,40,-1.5,44,0.909090909090909
2004,43,-1.5,49,0.877551020408163
2005,41,-1.5,44,0.931818181818182
2006,48,-1.5,50,0.96
2007,57,-1.5,65,0.876923076923077
2008,52,-1.5,53,0.981132075471698
2009,42,-1.5,48,0.875
2010,47,-1.5,51,0.92156862745098
2011,48,-1.5,58,0.827586206896552
2012,50,-1.5,56,0.892857142857143
2013,50,-1.5,57,0.87719298245614
2014,53,-1.5,57,0.929824561403509
2015,53,-1.5,58,0.913793103448276
2016,54,-1.5,60,0.9
2017,65,-1.5,69,0.942028985507246
2018,59,-1.5,62,0.951612903225806
1969,30,-1.47,32,0.9375
1970,32,-1.47,35,0.914285714285714
1971,37,-1.47,44,0.840909090909091
1972,45,-1.47,49,0.918367346938776
1973,39,-1.47,41,0.951219512195122
1974,42,-1.47,45,0.933333333333333
1975,33,-1.47,36,0.916666666666667
1976,32,-1.47,33,0.96969696969697
1977,47,-1.47,55,0.854545454545454
1978,32,-1.47,35,0.914285714285714
1979,35,-1.47,42,0.833333333333333
1980,40,-1.47,45,0.888888888888889
1981,32,-1.47,37,0.864864864864865
1982,33,-1.47,38,0.868421052631579
1983,33,-1.47,35,0.942857142857143
1984,38,-1.47,41,0.926829268292683
1985,51,-1.47,55,0.927272727272727
1986,43,-1.47,47,0.914893617021277
1987,33,-1.47,36,0.916666666666667
1988,35,-1.47,36,0.972222222222222
1989,42,-1.47,46,0.91304347826087
1990,48,-1.47,51,0.941176470588235
1991,41,-1.47,43,0.953488372093023
1992,44,-1.47,45,0.977777777777778
1993,42,-1.47,44,0.954545454545455
1994,30,-1.47,38,0.789473684210526
1995,45,-1.47,47,0.957446808510638
1996,35,-1.47,38,0.921052631578947
1997,35,-1.47,36,0.972222222222222
1998,49,-1.47,52,0.942307692307692
1999,47,-1.47,49,0.959183673469388
2000,47,-1.47,52,0.903846153846154
2001,61,-1.47,67,0.91044776119403
2002,42,-1.47,46,0.91304347826087
2003,40,-1.47,44,0.909090909090909
2004,41,-1.47,49,0.836734693877551
2005,40,-1.47,44,0.909090909090909
2006,48,-1.47,50,0.96
2007,56,-1.47,65,0.861538461538462
2008,52,-1.47,53,0.981132075471698
2009,42,-1.47,48,0.875
2010,46,-1.47,51,0.901960784313726
2011,48,-1.47,58,0.827586206896552
2012,49,-1.47,56,0.875
2013,49,-1.47,57,0.859649122807018
2014,53,-1.47,57,0.929824561403509
2015,51,-1.47,58,0.879310344827586
2016,50,-1.47,60,0.833333333333333
2017,65,-1.47,69,0.942028985507246
2018,59,-1.47,62,0.951612903225806
1969,30,-1.44,32,0.9375
1970,32,-1.44,35,0.914285714285714
1971,37,-1.44,44,0.840909090909091
1972,45,-1.44,49,0.918367346938776
1973,39,-1.44,41,0.951219512195122
1974,41,-1.44,45,0.911111111111111
1975,32,-1.44,36,0.888888888888889
1976,32,-1.44,33,0.96969696969697
1977,47,-1.44,55,0.854545454545454
1978,32,-1.44,35,0.914285714285714
1979,35,-1.44,42,0.833333333333333
1980,40,-1.44,45,0.888888888888889
1981,32,-1.44,37,0.864864864864865
1982,33,-1.44,38,0.868421052631579
1983,31,-1.44,35,0.885714285714286
1984,38,-1.44,41,0.926829268292683
1985,51,-1.44,55,0.927272727272727
1986,43,-1.44,47,0.914893617021277
1987,33,-1.44,36,0.916666666666667
1988,35,-1.44,36,0.972222222222222
1989,42,-1.44,46,0.91304347826087
1990,48,-1.44,51,0.941176470588235
1991,41,-1.44,43,0.953488372093023
1992,44,-1.44,45,0.977777777777778
