"Year","cbns","threshold","retirees","prop"
1969,29,-1,32,0.90625
1970,25,-1,35,0.714285714285714
1971,34,-1,44,0.772727272727273
1972,36,-1,49,0.73469387755102
1973,32,-1,41,0.780487804878049
1974,35,-1,45,0.777777777777778
1975,30,-1,36,0.833333333333333
1976,26,-1,33,0.787878787878788
1977,38,-1,55,0.690909090909091
1978,23,-1,35,0.657142857142857
1979,31,-1,42,0.738095238095238
1980,35,-1,45,0.777777777777778
1981,25,-1,37,0.675675675675676
1982,26,-1,38,0.684210526315789
1983,27,-1,35,0.771428571428571
1984,32,-1,41,0.780487804878049
1985,42,-1,55,0.763636363636364
1986,34,-1,47,0.723404255319149
1987,28,-1,36,0.777777777777778
1988,28,-1,36,0.777777777777778
1989,33,-1,46,0.717391304347826
1990,40,-1,51,0.784313725490196
1991,35,-1,43,0.813953488372093
1992,37,-1,45,0.822222222222222
1993,35,-1,44,0.795454545454545
1994,30,-1,38,0.789473684210526
1995,38,-1,47,0.808510638297872
1996,28,-1,38,0.736842105263158
1997,26,-1,36,0.722222222222222
1998,34,-1,52,0.653846153846154
1999,39,-1,49,0.795918367346939
2000,38,-1,52,0.730769230769231
2001,52,-1,67,0.776119402985075
2002,37,-1,46,0.804347826086957
2003,33,-1,44,0.75
2004,27,-1,49,0.551020408163265
2005,33,-1,44,0.75
2006,37,-1,50,0.74
2007,47,-1,65,0.723076923076923
2008,47,-1,53,0.886792452830189
2009,32,-1,48,0.666666666666667
2010,36,-1,51,0.705882352941177
2011,44,-1,58,0.758620689655172
2012,39,-1,56,0.696428571428571
2013,36,-1,57,0.631578947368421
2014,37,-1,57,0.649122807017544
2015,43,-1,58,0.741379310344828
2016,39,-1,60,0.65
2017,48,-1,69,0.695652173913043
2018,48,-1,62,0.774193548387097
1969,25,-0.95,32,0.78125
1970,25,-0.95,35,0.714285714285714
1971,34,-0.95,44,0.772727272727273
1972,34,-0.95,49,0.693877551020408
1973,32,-0.95,41,0.780487804878049
1974,32,-0.95,45,0.711111111111111
1975,27,-0.95,36,0.75
1976,25,-0.95,33,0.757575757575758
1977,37,-0.95,55,0.672727272727273
1978,20,-0.95,35,0.571428571428571
1979,26,-0.95,42,0.619047619047619
1980,31,-0.95,45,0.688888888888889
1981,24,-0.95,37,0.648648648648649
1982,23,-0.95,38,0.605263157894737
1983,24,-0.95,35,0.685714285714286
1984,32,-0.95,41,0.780487804878049
1985,41,-0.95,55,0.745454545454545
1986,33,-0.95,47,0.702127659574468
1987,24,-0.95,36,0.666666666666667
1988,28,-0.95,36,0.777777777777778
1989,33,-0.95,46,0.717391304347826
1990,35,-0.95,51,0.686274509803922
1991,33,-0.95,43,0.767441860465116
1992,37,-0.95,45,0.822222222222222
1993,35,-0.95,44,0.795454545454545
1994,28,-0.95,38,0.736842105263158
1995,36,-0.95,47,0.765957446808511
1996,27,-0.95,38,0.710526315789474
1997,25,-0.95,36,0.694444444444444
1998,34,-0.95,52,0.653846153846154
1999,39,-0.95,49,0.795918367346939
2000,37,-0.95,52,0.711538461538462
2001,50,-0.95,67,0.746268656716418
2002,36,-0.95,46,0.782608695652174
2003,30,-0.95,44,0.681818181818182
2004,27,-0.95,49,0.551020408163265
2005,32,-0.95,44,0.727272727272727
2006,32,-0.95,50,0.64
2007,45,-0.95,65,0.692307692307692
2008,41,-0.95,53,0.773584905660377
2009,32,-0.95,48,0.666666666666667
2010,34,-0.95,51,0.666666666666667
2011,38,-0.95,58,0.655172413793103
2012,38,-0.95,56,0.678571428571429
2013,38,-0.95,57,0.666666666666667
2014,35,-0.95,57,0.614035087719298
2015,34,-0.95,58,0.586206896551724
2016,38,-0.95,60,0.633333333333333
2017,50,-0.95,69,0.72463768115942
2018,48,-0.95,62,0.774193548387097
1969,25,-0.9,32,0.78125
1970,24,-0.9,35,0.685714285714286
1971,32,-0.9,44,0.727272727272727
1972,33,-0.9,49,0.673469387755102
1973,32,-0.9,41,0.780487804878049
1974,30,-0.9,45,0.666666666666667
1975,26,-0.9,36,0.722222222222222
1976,22,-0.9,33,0.666666666666667
1977,35,-0.9,55,0.636363636363636
1978,20,-0.9,35,0.571428571428571
1979,26,-0.9,42,0.619047619047619
1980,30,-0.9,45,0.666666666666667
1981,24,-0.9,37,0.648648648648649
1982,23,-0.9,38,0.605263157894737
1983,23,-0.9,35,0.657142857142857
1984,29,-0.9,41,0.707317073170732
1985,36,-0.9,55,0.654545454545455
1986,33,-0.9,47,0.702127659574468
1987,22,-0.9,36,0.611111111111111
1988,28,-0.9,36,0.777777777777778
1989,33,-0.9,46,0.717391304347826
1990,34,-0.9,51,0.666666666666667
1991,31,-0.9,43,0.720930232558139
1992,37,-0.9,45,0.822222222222222
1993,34,-0.9,44,0.772727272727273
1994,27,-0.9,38,0.710526315789474
1995,35,-0.9,47,0.74468085106383
1996,26,-0.9,38,0.684210526315789
1997,25,-0.9,36,0.694444444444444
1998,32,-0.9,52,0.615384615384615
1999,38,-0.9,49,0.775510204081633
2000,35,-0.9,52,0.673076923076923
2001,47,-0.9,67,0.701492537313433
2002,36,-0.9,46,0.782608695652174
2003,30,-0.9,44,0.681818181818182
2004,27,-0.9,49,0.551020408163265
2005,30,-0.9,44,0.681818181818182
2006,30,-0.9,50,0.6
2007,44,-0.9,65,0.676923076923077
2008,41,-0.9,53,0.773584905660377
2009,30,-0.9,48,0.625
2010,33,-0.9,51,0.647058823529412
2011,37,-0.9,58,0.637931034482759
2012,36,-0.9,56,0.642857142857143
2013,36,-0.9,57,0.631578947368421
2014,29,-0.9,57,0.508771929824561
2015,34,-0.9,58,0.586206896551724
2016,38,-0.9,60,0.633333333333333
2017,49,-0.9,69,0.710144927536232
2018,48,-0.9,62,0.774193548387097
1969,24,-0.85,32,0.75
1970,23,-0.85,35,0.657142857142857
1971,31,-0.85,44,0.704545454545455
1972,30,-0.85,49,0.612244897959184
1973,29,-0.85,41,0.707317073170732
1974,30,-0.85,45,0.666666666666667
1975,22,-0.85,36,0.611111111111111
1976,22,-0.85,33,0.666666666666667
1977,35,-0.85,55,0.636363636363636
1978,20,-0.85,35,0.571428571428571
1979,26,-0.85,42,0.619047619047619
1980,27,-0.85,45,0.6
1981,20,-0.85,37,0.540540540540541
1982,19,-0.85,38,0.5
1983,23,-0.85,35,0.657142857142857
1984,28,-0.85,41,0.682926829268293
1985,36,-0.85,55,0.654545454545455
1986,33,-0.85,47,0.702127659574468
1987,22,-0.85,36,0.611111111111111
1988,26,-0.85,36,0.722222222222222
1989,30,-0.85,46,0.652173913043478
1990,34,-0.85,51,0.666666666666667
1991,30,-0.85,43,0.697674418604651
1992,35,-0.85,45,0.777777777777778
1993,34,-0.85,44,0.772727272727273
1994,26,-0.85,38,0.684210526315789
1995,33,-0.85,47,0.702127659574468
1996,25,-0.85,38,0.657894736842105
1997,24,-0.85,36,0.666666666666667
1998,32,-0.85,52,0.615384615384615
1999,36,-0.85,49,0.73469387755102
2000,32,-0.85,52,0.615384615384615
2001,47,-0.85,67,0.701492537313433
2002,33,-0.85,46,0.717391304347826
2003,28,-0.85,44,0.636363636363636
2004,27,-0.85,49,0.551020408163265
2005,23,-0.85,44,0.522727272727273
2006,29,-0.85,50,0.58
2007,44,-0.85,65,0.676923076923077
2008,35,-0.85,53,0.660377358490566
2009,29,-0.85,48,0.604166666666667
2010,26,-0.85,51,0.509803921568627
2011,32,-0.85,58,0.551724137931034
2012,36,-0.85,56,0.642857142857143
2013,33,-0.85,57,0.578947368421053
2014,26,-0.85,57,0.456140350877193
2015,32,-0.85,58,0.551724137931034
2016,37,-0.85,60,0.616666666666667
2017,46,-0.85,69,0.666666666666667
2018,46,-0.85,62,0.741935483870968
1969,23,-0.8,32,0.71875
1970,22,-0.8,35,0.628571428571429
1971,29,-0.8,44,0.659090909090909
1972,30,-0.8,49,0.612244897959184
1973,29,-0.8,41,0.707317073170732
1974,30,-0.8,45,0.666666666666667
1975,22,-0.8,36,0.611111111111111
1976,20,-0.8,33,0.606060606060606
1977,34,-0.8,55,0.618181818181818
1978,20,-0.8,35,0.571428571428571
1979,25,-0.8,42,0.595238095238095
1980,26,-0.8,45,0.577777777777778
1981,20,-0.8,37,0.540540540540541
1982,16,-0.8,38,0.421052631578947
1983,21,-0.8,35,0.6
1984,27,-0.8,41,0.658536585365854
1985,34,-0.8,55,0.618181818181818
1986,32,-0.8,47,0.680851063829787
1987,20,-0.8,36,0.555555555555556
1988,23,-0.8,36,0.638888888888889
1989,28,-0.8,46,0.608695652173913
1990,33,-0.8,51,0.647058823529412
1991,27,-0.8,43,0.627906976744186
1992,31,-0.8,45,0.688888888888889
1993,34,-0.8,44,0.772727272727273
1994,23,-0.8,38,0.605263157894737
1995,33,-0.8,47,0.702127659574468
1996,25,-0.8,38,0.657894736842105
1997,22,-0.8,36,0.611111111111111
1998,30,-0.8,52,0.576923076923077
1999,36,-0.8,49,0.73469387755102
2000,32,-0.8,52,0.615384615384615
2001,45,-0.8,67,0.671641791044776
2002,32,-0.8,46,0.695652173913043
2003,28,-0.8,44,0.636363636363636
2004,23,-0.8,49,0.469387755102041
2005,23,-0.8,44,0.522727272727273
2006,25,-0.8,50,0.5
2007,40,-0.8,65,0.615384615384615
2008,35,-0.8,53,0.660377358490566
2009,24,-0.8,48,0.5
2010,24,-0.8,51,0.470588235294118
2011,32,-0.8,58,0.551724137931034
2012,36,-0.8,56,0.642857142857143
2013,33,-0.8,57,0.578947368421053
2014,26,-0.8,57,0.456140350877193
2015,31,-0.8,58,0.53448275862069
2016,34,-0.8,60,0.566666666666667
2017,46,-0.8,69,0.666666666666667
2018,43,-0.8,62,0.693548387096774
1969,23,-0.75,32,0.71875
1970,22,-0.75,35,0.628571428571429
1971,29,-0.75,44,0.659090909090909
1972,29,-0.75,49,0.591836734693878
1973,29,-0.75,41,0.707317073170732
1974,24,-0.75,45,0.533333333333333
1975,21,-0.75,36,0.583333333333333
1976,19,-0.75,33,0.575757575757576
1977,32,-0.75,55,0.581818181818182
1978,20,-0.75,35,0.571428571428571
1979,23,-0.75,42,0.547619047619048
1980,21,-0.75,45,0.466666666666667
1981,17,-0.75,37,0.459459459459459
1982,16,-0.75,38,0.421052631578947
1983,19,-0.75,35,0.542857142857143
1984,27,-0.75,41,0.658536585365854
1985,34,-0.75,55,0.618181818181818
1986,29,-0.75,47,0.617021276595745
1987,18,-0.75,36,0.5
1988,21,-0.75,36,0.583333333333333
1989,28,-0.75,46,0.608695652173913
1990,32,-0.75,51,0.627450980392157
1991,26,-0.75,43,0.604651162790698
1992,31,-0.75,45,0.688888888888889
1993,33,-0.75,44,0.75
1994,22,-0.75,38,0.578947368421053
1995,32,-0.75,47,0.680851063829787
1996,25,-0.75,38,0.657894736842105
1997,22,-0.75,36,0.611111111111111
